seed,task_id,task_type,generic_steps,current_task_virtual_steps,normalized_readout_steps,oracle_source_linear_steps,oracle_exploration_steps,generic_success,current_task_virtual_success,normalized_readout_success,oracle_source_linear_success,oracle_exploration_success
73000000,0,sequence,36,36,36,38,21,True,True,True,True,True
73000000,1,all_of,113,113,108,16,16,True,True,True,True,True
73000000,2,condition_then,25,25,25,14,14,True,True,True,True,True
73000000,3,sequence,11,11,11,11,11,True,True,True,True,True
73000000,4,all_of,74,74,74,24,15,True,True,True,True,True
73000000,5,condition_then,4,3,4,3,3,True,True,True,True,True
73000000,6,sequence,24,24,24,22,14,True,True,True,True,True
73000000,7,all_of,14,14,14,14,12,True,True,True,True,True
73000000,8,condition_then,157,157,157,9,9,True,True,True,True,True
73000000,9,branch,121,121,121,16,15,True,True,True,True,True
73000000,10,branch,10,10,10,9,9,True,True,True,True,True
73000000,11,branch,53,53,53,9,9,True,True,True,True,True
73000001,0,sequence,18,18,18,18,18,True,True,True,True,True
73000001,1,all_of,14,14,14,14,14,True,True,True,True,True
73000001,2,condition_then,7,7,7,7,7,True,True,True,True,True
73000001,3,sequence,20,20,20,20,20,True,True,True,True,True
73000001,4,all_of,15,15,15,15,15,True,True,True,True,True
73000001,5,condition_then,8,8,8,8,8,True,True,True,True,True
73000001,6,sequence,22,22,22,22,22,True,True,True,True,True
73000001,7,all_of,18,18,18,18,18,True,True,True,True,True
73000001,8,condition_then,12,12,12,12,12,True,True,True,True,True
73000001,9,branch,8,8,8,8,8,True,True,True,True,True
73000001,10,branch,8,8,8,8,8,True,True,True,True,True
73000001,11,branch,9,9,9,9,9,True,True,True,True,True
73000002,0,sequence,14,14,14,14,14,True,True,True,True,True
73000002,1,all_of,11,11,11,11,11,True,True,True,True,True
73000002,2,condition_then,6,6,6,6,6,True,True,True,True,True
73000002,3,sequence,12,12,12,12,12,True,True,True,True,True
73000002,4,all_of,11,11,11,11,11,True,True,True,True,True
73000002,5,condition_then,8,8,8,8,8,True,True,True,True,True
73000002,6,sequence,12,12,12,12,12,True,True,True,True,True
73000002,7,all_of,5,5,5,5,5,True,True,True,True,True
73000002,8,condition_then,7,7,7,7,7,True,True,True,True,True
73000002,9,branch,12,12,12,12,12,True,True,True,True,True
73000002,10,branch,11,11,11,11,11,True,True,True,True,True
73000002,11,branch,11,11,11,11,11,True,True,True,True,True
73000003,0,sequence,29,29,29,29,29,True,True,True,True,True
