budget,task_type,method,tasks,success_rate,mean_steps,median_steps
512,all_of,dynamic_source,96,0.34375,8.302083333333334,9.0
512,all_of,product_compiler,96,0.34375,5.604166666666667,0.0
512,all_of,static_source,96,0.0,325.3333333333333,512.0
512,branch,dynamic_source,80,0.4375,6.8375,5.0
512,branch,product_compiler,80,0.6,6.375,8.0
512,branch,static_source,80,0.0,371.2,512.0
512,condition_then,dynamic_source,96,0.46875,5.135416666666667,3.5
512,condition_then,product_compiler,96,0.46875,4.708333333333333,0.0
512,condition_then,static_source,96,0.0,346.6666666666667,512.0
512,sequence,dynamic_source,96,0.3229166666666667,8.447916666666666,4.5
512,sequence,product_compiler,96,0.3229166666666667,6.260416666666667,0.0
512,sequence,static_source,96,0.0,336.0,512.0
2048,all_of,dynamic_source,96,0.8125,15.15625,16.0
2048,all_of,product_compiler,96,0.8125,13.75,16.0
2048,all_of,static_source,96,0.0,469.3333333333333,512.0
2048,branch,dynamic_source,80,0.8375,12.15,14.0
2048,branch,product_compiler,80,0.9,8.975,9.0
2048,branch,static_source,80,0.0,467.2,512.0
2048,condition_then,dynamic_source,96,0.875,9.302083333333334,9.0
2048,condition_then,product_compiler,96,0.875,9.052083333333334,9.0
2048,condition_then,static_source,96,0.0,469.3333333333333,512.0
2048,sequence,dynamic_source,96,0.8125,17.197916666666668,19.0
2048,sequence,product_compiler,96,0.8125,16.625,19.0
2048,sequence,static_source,96,0.0,469.3333333333333,512.0
4096,all_of,dynamic_source,96,0.9375,16.354166666666668,17.0
4096,all_of,product_compiler,96,0.9375,15.447916666666666,16.0
4096,all_of,static_source,96,0.0,496.0,512.0
4096,branch,dynamic_source,80,0.95,13.5,14.5
4096,branch,product_compiler,80,0.9875,9.525,9.0
4096,branch,static_source,80,0.0,505.6,512.0
4096,condition_then,dynamic_source,96,0.9479166666666666,9.75,10.0
4096,condition_then,product_compiler,96,0.9479166666666666,9.5,9.0
4096,condition_then,static_source,96,0.0,496.0,512.0
4096,sequence,dynamic_source,96,0.9166666666666666,18.864583333333332,20.0
4096,sequence,product_compiler,96,0.9166666666666666,18.53125,20.0
4096,sequence,static_source,96,0.0,496.0,512.0
8192,all_of,dynamic_source,96,1.0,16.885416666666668,17.0
8192,all_of,product_compiler,96,1.0,16.177083333333332,16.0
8192,all_of,static_source,96,0.0,512.0,512.0
8192,branch,dynamic_source,80,1.0,13.975,14.5
8192,branch,product_compiler,80,1.0,9.4375,9.0
8192,branch,static_source,80,0.0,512.0,512.0
8192,condition_then,dynamic_source,96,1.0,10.125,10.0
8192,condition_then,product_compiler,96,1.0,9.958333333333334,9.0
8192,condition_then,static_source,96,0.0,512.0,512.0
8192,sequence,dynamic_source,96,1.0,19.875,20.0
8192,sequence,product_compiler,96,1.0,19.875,20.0
8192,sequence,static_source,96,0.0,512.0,512.0
