seed,task_id,task_type,start,task_spec
2101,0,sequence,"[6, 3, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [2, 5, 1]}, {""kind"": ""exact"", ""state"": [9, 4, 1]}, {""kind"": ""exact"", ""state"": [5, 3, 1]}], ""op"": ""SEQ""}"
2101,1,all_of,"[6, 3, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [2, 5, 1]}, {""kind"": ""exact"", ""state"": [8, 2, 0]}, {""kind"": ""exact"", ""state"": [9, 4, 1]}], ""op"": ""ALL""}"
2101,2,condition_then,"[6, 3, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 5, ""var"": 1}, {""kind"": ""exact"", ""state"": [4, 3, 0]}], ""op"": ""SEQ""}"
2101,3,sequence,"[10, 2, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [5, 3, 1]}, {""kind"": ""exact"", ""state"": [4, 8, 1]}, {""kind"": ""exact"", ""state"": [2, 2, 0]}], ""op"": ""SEQ""}"
2101,4,all_of,"[10, 2, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 5, 1]}, {""kind"": ""exact"", ""state"": [5, 3, 1]}, {""kind"": ""exact"", ""state"": [4, 8, 1]}], ""op"": ""ALL""}"
2101,5,condition_then,"[10, 2, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 3, ""var"": 1}, {""kind"": ""exact"", ""state"": [1, 9, 1]}], ""op"": ""SEQ""}"
2101,6,sequence,"[5, 4, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [4, 5, 0]}, {""kind"": ""exact"", ""state"": [7, 4, 0]}, {""kind"": ""exact"", ""state"": [8, 9, 1]}], ""op"": ""SEQ""}"
2101,7,all_of,"[5, 4, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 2, 1]}, {""kind"": ""exact"", ""state"": [4, 5, 0]}, {""kind"": ""exact"", ""state"": [7, 4, 0]}], ""op"": ""ALL""}"
2101,8,condition_then,"[5, 4, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 0, ""var"": 2}, {""kind"": ""exact"", ""state"": [5, 3, 1]}], ""op"": ""SEQ""}"
2101,9,sequence,"[5, 4, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [10, 5, 0]}, {""kind"": ""exact"", ""state"": [7, 1, 1]}, {""kind"": ""exact"", ""state"": [4, 4, 0]}], ""op"": ""SEQ""}"
2101,10,all_of,"[5, 4, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [10, 5, 0]}, {""kind"": ""exact"", ""state"": [2, 4, 0]}, {""kind"": ""exact"", ""state"": [7, 1, 1]}], ""op"": ""ALL""}"
2101,11,condition_then,"[5, 4, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 10, ""var"": 0}, {""kind"": ""exact"", ""state"": [7, 7, 1]}], ""op"": ""SEQ""}"
2101,12,sequence,"[10, 7, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [9, 4, 0]}, {""kind"": ""exact"", ""state"": [1, 10, 1]}, {""kind"": ""exact"", ""state"": [6, 8, 1]}], ""op"": ""SEQ""}"
2101,13,all_of,"[10, 7, 0]","{""goals"": [{""kind"": ""exact"", ""state"": [9, 4, 0]}, {""kind"": ""exact"", ""state"": [1, 10, 1]}, {""kind"": ""exact"", ""state"": [1, 6, 1]}], ""op"": ""ALL""}"
2101,14,condition_then,"[10, 7, 0]","{""goals"": [{""kind"": ""var_eq"", ""value"": 9, ""var"": 0}, {""kind"": ""exact"", ""state"": [10, 10, 0]}], ""op"": ""SEQ""}"
2101,15,sequence,"[7, 8, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [4, 3, 0]}, {""kind"": ""exact"", ""state"": [8, 4, 0]}, {""kind"": ""exact"", ""state"": [7, 6, 1]}], ""op"": ""SEQ""}"
2101,16,all_of,"[7, 8, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [5, 8, 1]}, {""kind"": ""exact"", ""state"": [4, 3, 0]}, {""kind"": ""exact"", ""state"": [8, 4, 0]}], ""op"": ""ALL""}"
2101,17,condition_then,"[7, 8, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 4, ""var"": 0}, {""kind"": ""exact"", ""state"": [8, 7, 1]}], ""op"": ""SEQ""}"
2101,18,sequence,"[4, 4, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [8, 1, 0]}, {""kind"": ""exact"", ""state"": [1, 8, 1]}, {""kind"": ""exact"", ""state"": [2, 10, 0]}], ""op"": ""SEQ""}"
2101,19,all_of,"[4, 4, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [1, 8, 1]}, {""kind"": ""exact"", ""state"": [8, 1, 0]}, {""kind"": ""exact"", ""state"": [1, 1, 1]}], ""op"": ""ALL""}"
2101,20,condition_then,"[4, 4, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 8, ""var"": 0}, {""kind"": ""exact"", ""state"": [10, 3, 1]}], ""op"": ""SEQ""}"
2101,21,sequence,"[10, 3, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [9, 7, 1]}, {""kind"": ""exact"", ""state"": [3, 1, 1]}, {""kind"": ""exact"", ""state"": [5, 3, 0]}], ""op"": ""SEQ""}"
2101,22,all_of,"[10, 3, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [6, 7, 0]}, {""kind"": ""exact"", ""state"": [9, 7, 1]}, {""kind"": ""exact"", ""state"": [3, 1, 1]}], ""op"": ""ALL""}"
2101,23,condition_then,"[10, 3, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 7, ""var"": 1}, {""kind"": ""exact"", ""state"": [7, 8, 1]}], ""op"": ""SEQ""}"
2101,24,sequence,"[3, 1, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 7, 1]}, {""kind"": ""exact"", ""state"": [2, 8, 1]}, {""kind"": ""exact"", ""state"": [1, 1, 1]}], ""op"": ""SEQ""}"
2101,25,all_of,"[3, 1, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [7, 7, 1]}, {""kind"": ""exact"", ""state"": [5, 1, 1]}, {""kind"": ""exact"", ""state"": [2, 8, 1]}], ""op"": ""ALL""}"
2101,26,condition_then,"[3, 1, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 7, ""var"": 0}, {""kind"": ""exact"", ""state"": [4, 8, 1]}], ""op"": ""SEQ""}"
2101,27,sequence,"[5, 1, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [2, 7, 0]}, {""kind"": ""exact"", ""state"": [3, 1, 0]}, {""kind"": ""exact"", ""state"": [7, 1, 1]}], ""op"": ""SEQ""}"
2101,28,all_of,"[5, 1, 1]","{""goals"": [{""kind"": ""exact"", ""state"": [6, 4, 0]}, {""kind"": ""exact"", ""state"": [3, 1, 0]}, {""kind"": ""exact"", ""state"": [2, 7, 0]}], ""op"": ""ALL""}"
2101,29,condition_then,"[5, 1, 1]","{""goals"": [{""kind"": ""var_eq"", ""value"": 0, ""var"": 2}, {""kind"": ""exact"", ""state"": [7, 5, 1]}], ""op"": ""SEQ""}"
