capped_steps,cpu_seconds,exploration_policy_cpu_seconds,exploration_steps,failure_reason,final_memory_accepting,policy,process_peak_rss_bytes_so_far,repeat,replans,rng_seed,sampled_peak_rss_bytes,seed,states_at_end,success,task_id,task_steps,task_type,wall_seconds
36,0.051094902,0.0059192809999998874,11,success,True,fixed_generic,64446464,0,36,76000000,64487424,73000000,44,True,0,36,sequence,0.0510991110000063
36,0.050995612000000023,0.005533842000000011,11,success,True,fixed_task,64446464,0,36,76000000,64487424,73000000,44,True,0,36,sequence,0.05099909199999786
52,0.08720255500000001,0.03209616200000015,32,success,True,doob_generic,64446464,0,52,76000000,64495616,73000000,44,True,0,52,sequence,0.08720571199999938
37,0.050599771000000016,0.009699786999999904,16,success,True,doob_generic,64446464,1,37,76000001,64495616,73000000,45,True,0,37,sequence,0.050603037999998435
43,0.06091025299999997,0.010113903000000035,17,success,True,doob_generic,64446464,2,43,76000002,64507904,73000000,47,True,0,43,sequence,0.06092171000000235
52,0.07835978899999996,0.021942261999999824,28,success,True,doob_generic,64446464,3,52,76000003,64507904,73000000,50,True,0,52,sequence,0.07836305700000423
90,0.095189635,0.03948373099999958,70,success,True,doob_generic,64446464,4,90,76000004,64516096,73000000,54,True,0,90,sequence,0.09520553799999476
30,0.04672601600000004,0.007826421000000083,10,success,True,doob_generic,64446464,5,30,76000005,64516096,73000000,42,True,0,30,sequence,0.046729270000000156
44,0.06209521500000004,0.018225513999999943,24,success,True,doob_generic,64446464,6,44,76000006,64516096,73000000,49,True,0,44,sequence,0.06211300399999686
135,0.14309379700000002,0.0673171010000001,115,success,True,doob_generic,64446464,7,135,76000007,64520192,73000000,53,True,0,135,sequence,0.14309781700000457
40,0.058703993999999815,0.012115375999999456,15,success,True,doob_generic,64446464,8,40,76000008,64520192,73000000,43,True,0,40,sequence,0.0587200339999967
70,0.09648608899999989,0.023403674999999957,38,success,True,doob_generic,64446464,9,70,76000009,64520192,73000000,50,True,0,70,sequence,0.09652417899999932
52,0.08636055400000009,0.03156856099999983,32,success,True,doob_task,64446464,0,52,76000000,64520192,73000000,44,True,0,52,sequence,0.08637551400000376
37,0.050326708999999914,0.009348504999999951,16,success,True,doob_task,64446464,1,37,76000001,64520192,73000000,45,True,0,37,sequence,0.050325651999997945
43,0.06044801300000002,0.010013917999998956,17,success,True,doob_task,64446464,2,43,76000002,64520192,73000000,47,True,0,43,sequence,0.060458130999997195
52,0.07823097599999995,0.02188517000000023,28,success,True,doob_task,64446464,3,52,76000003,64520192,73000000,50,True,0,52,sequence,0.07822735499999567
