seed,policy,success_rate,mean_capped_steps
73000000,fixed_generic,1.0,53.5
73000000,fixed_task,1.0,53.416666666666664
73000000,doob_generic,1.0,88.26666666666667
73000000,doob_task,1.0,92.25833333333334
73000000,deadline_generic,1.0,53.833333333333336
73000000,deadline_task,1.0,56.0
73000001,fixed_generic,1.0,13.25
73000001,fixed_task,1.0,13.25
73000001,doob_generic,1.0,13.25
73000001,doob_task,1.0,13.25
73000001,deadline_generic,1.0,13.25
73000001,deadline_task,1.0,13.25
73000002,fixed_generic,1.0,10.0
73000002,fixed_task,1.0,10.0
73000002,doob_generic,1.0,10.0
73000002,doob_task,1.0,10.0
73000002,deadline_generic,1.0,10.0
73000002,deadline_task,1.0,10.0
73000003,fixed_generic,1.0,12.25
73000003,fixed_task,1.0,12.25
73000003,doob_generic,1.0,12.25
73000003,doob_task,1.0,12.25
73000003,deadline_generic,1.0,12.25
73000003,deadline_task,1.0,12.25
73000004,fixed_generic,1.0,31.5
73000004,fixed_task,1.0,31.5
73000004,doob_generic,1.0,79.125
73000004,doob_task,1.0,79.125
73000004,deadline_generic,1.0,43.5
73000004,deadline_task,1.0,43.5
73000005,fixed_generic,1.0,12.083333333333334
73000005,fixed_task,1.0,12.083333333333334
73000005,doob_generic,1.0,12.083333333333334
73000005,doob_task,1.0,12.083333333333334
73000005,deadline_generic,1.0,12.083333333333334
73000005,deadline_task,1.0,12.083333333333334
73000006,fixed_generic,1.0,32.166666666666664
73000006,fixed_task,1.0,32.166666666666664
73000006,doob_generic,1.0,91.47500000000001
73000006,doob_task,1.0,95.81666666666668
73000006,deadline_generic,1.0,32.166666666666664
73000006,deadline_task,1.0,30.083333333333332
73000007,fixed_generic,1.0,17.5
73000007,fixed_task,1.0,18.0
73000007,doob_generic,1.0,27.75
73000007,doob_task,1.0,30.941666666666666
73000007,deadline_generic,1.0,26.75
73000007,deadline_task,1.0,29.083333333333332
