task_type,policy,n,successes,mean_steps
sequence,generic,759,759,145.9341238471673
sequence,current_task,759,759,144.3741765480896
sequence,oracle_source,759,759,43.12252964426877
sequence,oracle_direct,759,759,17.993412384716734
all_of,generic,759,759,130.91963109354413
all_of,current_task,759,759,130.6824769433465
all_of,oracle_source,759,759,20.843214756258234
all_of,oracle_direct,759,759,14.065876152832674
condition_then,generic,759,759,67.69828722002634
condition_then,current_task,759,759,67.74703557312253
condition_then,oracle_source,759,759,12.400527009222662
condition_then,oracle_direct,759,759,9.606060606060606
branch,generic,759,759,71.39789196310936
branch,current_task,759,759,74.1699604743083
branch,oracle_source,759,759,11.79973649538867
branch,oracle_direct,759,759,9.969696969696969
