capped_steps,cpu_seconds,exploration_policy_cpu_seconds,exploration_steps,failure_reason,final_memory,final_memory_accepting,oracle_setup_cpu_seconds,policy,process_peak_rss_bytes_so_far,replans,sampled_peak_rss_bytes,seed,states_known_at_end,success,task_id,task_steps,task_type,wall_seconds
11,0.053470236999999976,0.0,0,success,3,True,0,generic,65191936,11,65363968,77000000,155,True,0,11,sequence,0.05347476399998641
11,0.060919208,0.0,0,success,3,True,0,current_task,65191936,11,65372160,77000000,155,True,0,11,sequence,0.06092380300000855
11,0.07893191999999993,0.0,0,success,3,True,0.025507378000000025,oracle_source,67457024,11,67493888,77000000,155,True,0,11,sequence,0.10055942400001072
11,0.06719520200000006,0.0,0,success,3,True,0.014638800000000063,oracle_direct,67457024,11,67366912,77000000,155,True,0,11,sequence,0.06721332800000823
15,0.10338519200000007,0.0,0,success,7,True,0,generic,68210688,15,67248128,77000000,155,True,1,15,all_of,0.10339833700001577
15,0.11931261500000001,0.0,0,success,7,True,0,current_task,68210688,15,67248128,77000000,155,True,1,15,all_of,0.11931769099999201
15,0.11717893599999996,0.0,0,success,7,True,0.006876704000000067,oracle_source,68210688,15,67248128,77000000,155,True,1,15,all_of,0.11720089199999961
15,0.10902343499999989,0.0,0,success,7,True,0.0070043719999999254,oracle_direct,68210688,15,67248128,77000000,155,True,1,15,all_of,0.10905834299998673
8,0.02512248100000014,0.0,0,success,2,True,0,generic,68210688,8,67248128,77000000,155,True,2,8,condition_then,0.02512591900000416
8,0.025114846999999996,0.0,0,success,2,True,0,current_task,68210688,8,67248128,77000000,155,True,2,8,condition_then,0.025118254999995315
8,0.02811525200000009,0.0,0,success,2,True,0.0029222300000000256,oracle_source,68210688,8,67248128,77000000,155,True,2,8,condition_then,0.028119263000007777
8,0.028739767000000027,0.0,0,success,2,True,0.0029556019999998906,oracle_direct,68210688,8,67661824,77000000,155,True,2,8,condition_then,0.028743724000008797
31,0.13899087300000001,0.0,0,success,3,True,0,generic,68210688,31,67792896,77000000,155,True,3,31,sequence,0.1390103530000033
31,0.14563736900000013,0.0,0,success,3,True,0,current_task,68210688,31,67792896,77000000,155,True,3,31,sequence,0.14564372199998843
31,0.14180530200000008,0.0,0,success,3,True,0.0034030160000000365,oracle_source,68210688,31,67792896,77000000,155,True,3,31,sequence,0.141810133000007
31,0.1434063269999999,0.0,0,success,3,True,0.0034783560000000158,oracle_direct,68210688,31,67792896,77000000,155,True,3,31,sequence,0.14342684499999336
20,0.10533357599999982,0.0,0,success,7,True,0,generic,68386816,20,67792896,77000000,155,True,4,20,all_of,0.10535607999997865
20,0.10249862900000006,0.0,0,success,7,True,0,current_task,68386816,20,67760128,77000000,155,True,4,20,all_of,0.10251482099999976
20,0.11632989199999999,0.0,0,success,7,True,0.007008410000000076,oracle_source,68386816,20,67760128,77000000,155,True,4,20,all_of,0.1163643229999991
