seed,task_id,task_type,policy,generic_steps,steps,difference
77000001,0,sequence,oracle_source,43,89,46
77000001,4,all_of,current_task,305,309,4
77000002,3,sequence,current_task,216,246,30
77000002,4,all_of,current_task,210,240,30
77000004,11,branch,oracle_source,49,57,8
77000009,0,sequence,current_task,637,638,1
77000010,0,sequence,oracle_source,479,577,98
77000010,3,sequence,oracle_source,431,525,94
77000014,6,sequence,current_task,136,169,33
77000015,8,condition_then,oracle_source,81,269,188
77000031,7,all_of,current_task,655,701,46
77000036,7,all_of,current_task,181,208,27
77000039,4,all_of,current_task,70,75,5
77000041,2,condition_then,current_task,154,156,2
77000041,9,branch,current_task,149,468,319
77000045,3,sequence,oracle_source,861,916,55
77000046,3,sequence,oracle_source,81,116,35
77000046,4,all_of,oracle_source,70,73,3
77000049,3,sequence,current_task,379,384,5
77000049,3,sequence,oracle_source,379,395,16
77000050,9,branch,current_task,759,1221,462
77000051,2,condition_then,current_task,388,391,3
77000056,0,sequence,current_task,125,129,4
77000056,1,all_of,current_task,70,83,13
77000056,2,condition_then,current_task,210,212,2
77000059,0,sequence,oracle_source,154,346,192
77000061,0,sequence,oracle_source,50,97,47
77000069,0,sequence,oracle_source,156,250,94
77000072,4,all_of,oracle_source,16,24,8
77000073,0,sequence,oracle_source,761,796,35
77000074,0,sequence,oracle_source,207,220,13
77000080,0,sequence,oracle_source,284,420,136
77000081,7,all_of,current_task,114,117,3
77000081,11,branch,current_task,431,559,128
77000083,5,condition_then,oracle_source,19,21,2
77000085,9,branch,current_task,68,70,2
77000086,3,sequence,oracle_source,166,597,431
77000087,10,branch,current_task,309,831,522
77000090,3,sequence,oracle_source,180,262,82
77000090,6,sequence,current_task,545,546,1
77000090,7,all_of,current_task,542,543,1
77000092,2,condition_then,oracle_source,9,10,1
77000092,2,condition_then,oracle_direct,9,10,1
77000094,3,sequence,oracle_source,1081,1117,36
77000103,1,all_of,current_task,405,430,25
77000103,3,sequence,oracle_source,55,84,29
77000106,6,sequence,current_task,140,192,52
77000109,11,branch,current_task,163,212,49
77000112,10,branch,current_task,162,320,158
77000115,0,sequence,oracle_source,55,64,9
77000117,3,sequence,current_task,285,289,4
77000117,4,all_of,current_task,285,289,4
77000122,3,sequence,oracle_source,103,136,33
77000122,6,sequence,current_task,213,216,3
77000124,9,branch,current_task,10,174,164
77000137,1,all_of,current_task,56,60,4
77000138,3,sequence,oracle_source,35,133,98
77000142,9,branch,current_task,634,639,5
77000149,4,all_of,current_task,104,108,4
77000153,4,all_of,current_task,506,576,70
77000156,1,all_of,current_task,154,188,34
77000156,6,sequence,oracle_source,50,53,3
77000157,6,sequence,oracle_source,45,313,268
77000157,10,branch,current_task,161,182,21
77000161,0,sequence,oracle_source,157,233,76
77000165,4,all_of,current_task,76,87,11
77000165,7,all_of,current_task,174,194,20
77000171,6,sequence,current_task,467,468,1
77000175,4,all_of,current_task,46,69,23
77000177,7,all_of,current_task,209,657,448
77000177,11,branch,current_task,1125,1127,2
77000182,6,sequence,oracle_source,308,331,23
77000188,6,sequence,oracle_source,116,135,19
77000191,7,all_of,current_task,374,378,4
77000202,7,all_of,current_task,328,329,1
77000206,3,sequence,oracle_source,61,63,2
77000206,6,sequence,current_task,81,88,7
77000209,4,all_of,oracle_source,60,79,19
77000209,5,condition_then,oracle_source,55,68,13
77000212,0,sequence,current_task,62,70,8
77000212,1,all_of,current_task,58,59,1
77000212,6,sequence,current_task,61,66,5
77000212,7,all_of,current_task,41,50,9
77000216,2,condition_then,oracle_source,29,41,12
77000220,6,sequence,oracle_source,106,110,4
77000230,3,sequence,current_task,763,831,68
77000230,4,all_of,current_task,750,818,68
77000230,10,branch,current_task,144,548,404
77000235,3,sequence,oracle_source,146,193,47
77000235,9,branch,current_task,108,131,23
77000237,6,sequence,oracle_source,58,183,125
77000237,8,condition_then,current_task,368,381,13
77000239,5,condition_then,current_task,47,150,103
77000241,3,sequence,oracle_source,138,237,99
77000247,1,all_of,current_task,76,87,11
77000250,3,sequence,oracle_source,31,32,1
77000250,6,sequence,oracle_source,75,107,32
77000253,2,condition_then,current_task,151,186,35
77000254,2,condition_then,current_task,85,137,52
77000255,3,sequence,current_task,60,107,47
77000255,4,all_of,current_task,58,101,43
77000255,5,condition_then,oracle_source,13,17,4
77000255,5,condition_then,oracle_direct,13,17,4
77000265,11,branch,current_task,190,327,137
77000267,6,sequence,oracle_source,73,121,48
77000268,1,all_of,current_task,136,146,10
77000269,2,condition_then,current_task,56,67,11
77000271,0,sequence,oracle_source,122,139,17
77000271,11,branch,oracle_source,31,33,2
77000272,0,sequence,current_task,65,68,3
77000272,1,all_of,current_task,66,69,3
77000272,2,condition_then,oracle_source,11,13,2
77000272,2,condition_then,oracle_direct,11,13,2
