seed,task_id,task_type,linear_steps,optimal_steps,shortest
2303,41,branch,17,11,11
2505,42,branch,16,12,12
2808,10,all_of,20,15,15
2808,40,branch,17,13,13
2303,37,branch,10,8,8
2808,13,all_of,20,16,16
2303,19,all_of,11,9,9
2505,13,all_of,17,14,14
2202,34,all_of,21,18,18
2404,13,all_of,16,14,14
2505,4,all_of,16,14,14
2707,28,all_of,25,22,22
2707,22,all_of,17,15,15
2404,16,all_of,19,17,17
2808,5,condition_then,10,9,9
2202,33,sequence,21,19,19
2707,19,all_of,21,19,19
2303,0,sequence,22,20,20
2808,3,sequence,23,21,21
2202,11,condition_then,14,13,13
2101,26,condition_then,15,14,14
2808,4,all_of,15,14,14
2808,8,condition_then,15,14,14
2808,34,all_of,15,14,14
2101,16,all_of,17,16,16
2707,41,branch,17,16,16
2808,15,sequence,21,20,20
2202,9,sequence,22,21,21
2808,24,sequence,22,21,21
2606,3,sequence,23,22,22
2606,30,sequence,23,22,22
2606,31,all_of,23,22,22
2808,6,sequence,24,23,23
