seed,budget,task_id,task_type,method,success,steps,shortest_product_steps,base_learned_states,task_memory_states,reachable_product_states
2101,512,0,sequence,static_source,False,512,,128,4,0
2101,512,0,sequence,dynamic_source,False,17,,128,4,0
2101,512,0,sequence,product_compiler,False,0,,128,4,376
2101,512,0,sequence,optimal_product,False,0,,128,4,376
2101,512,1,all_of,static_source,False,512,,128,8,0
2101,512,1,all_of,dynamic_source,False,15,,128,8,0
2101,512,1,all_of,product_compiler,False,0,,128,8,500
2101,512,1,all_of,optimal_product,False,0,,128,8,500
2101,512,2,condition_then,static_source,False,512,,128,3,0
2101,512,2,condition_then,dynamic_source,False,2,,128,3,0
2101,512,2,condition_then,product_compiler,False,0,,128,3,146
2101,512,2,condition_then,optimal_product,False,0,,128,3,146
2101,512,3,sequence,static_source,False,0,,128,4,0
2101,512,3,sequence,dynamic_source,False,0,,128,4,0
2101,512,3,sequence,product_compiler,False,0,,128,4,0
2101,512,3,sequence,optimal_product,False,0,,128,4,0
2101,512,4,all_of,static_source,False,0,,128,8,0
2101,512,4,all_of,dynamic_source,False,0,,128,8,0
2101,512,4,all_of,product_compiler,False,0,,128,8,0
2101,512,4,all_of,optimal_product,False,0,,128,8,0
2101,512,5,condition_then,static_source,False,0,,128,3,0
2101,512,5,condition_then,dynamic_source,False,0,,128,3,0
2101,512,5,condition_then,product_compiler,False,0,,128,3,0
2101,512,5,condition_then,optimal_product,False,0,,128,3,0
2101,512,6,sequence,static_source,False,512,14,128,4,0
2101,512,6,sequence,dynamic_source,True,14,14,128,4,0
2101,512,6,sequence,product_compiler,True,14,14,128,4,498
2101,512,6,sequence,optimal_product,True,14,14,128,4,498
2101,512,7,all_of,static_source,False,512,,128,8,0
2101,512,7,all_of,dynamic_source,False,7,,128,8,0
2101,512,7,all_of,product_compiler,False,0,,128,8,494
2101,512,7,all_of,optimal_product,False,0,,128,8,494
2101,512,8,condition_then,static_source,False,512,,128,3,0
2101,512,8,condition_then,dynamic_source,False,1,,128,3,0
2101,512,8,condition_then,product_compiler,False,0,,128,3,127
2101,512,8,condition_then,optimal_product,False,0,,128,3,127
2101,512,9,sequence,static_source,False,512,,128,4,0
2101,512,9,sequence,dynamic_source,False,6,,128,4,0
2101,512,9,sequence,product_compiler,False,0,,128,4,250
2101,512,9,sequence,optimal_product,False,0,,128,4,250
2101,512,10,all_of,static_source,False,512,,128,8,0
2101,512,10,all_of,dynamic_source,False,15,,128,8,0
2101,512,10,all_of,product_compiler,False,0,,128,8,496
2101,512,10,all_of,optimal_product,False,0,,128,8,496
2101,512,11,condition_then,static_source,False,512,12,128,3,0
2101,512,11,condition_then,dynamic_source,True,12,12,128,3,0
2101,512,11,condition_then,product_compiler,True,12,12,128,3,361
2101,512,11,condition_then,optimal_product,True,12,12,128,3,361
