budget,task_type,method,tasks,solved,success_rate,optimal_among_solved,mean_excess_steps,max_excess_steps
512,all_of,dynamic_source,96,33,0.3438,24,0.6667,8
512,all_of,optimal_product,96,33,0.3438,33,0.0,0
512,all_of,product_compiler,96,33,0.3438,26,0.3939,3
512,all_of,static_source,96,0,0.0,0,0.0,0
512,branch,dynamic_source,80,35,0.4375,18,2.7429,10
512,branch,optimal_product,80,48,0.6,48,0.0,0
512,branch,product_compiler,80,48,0.6,45,0.2708,6
512,branch,static_source,80,0,0.0,0,0.0,0
512,condition_then,dynamic_source,96,45,0.4688,43,0.0667,2
512,condition_then,optimal_product,96,45,0.4688,45,0.0,0
512,condition_then,product_compiler,96,45,0.4688,45,0.0,0
512,condition_then,static_source,96,0,0.0,0,0.0,0
512,sequence,dynamic_source,96,31,0.3229,31,0.0,0
512,sequence,optimal_product,96,31,0.3229,31,0.0,0
512,sequence,product_compiler,96,31,0.3229,31,0.0,0
512,sequence,static_source,96,0,0.0,0,0.0,0
2048,all_of,dynamic_source,96,78,0.8125,55,0.8333,7
2048,all_of,optimal_product,96,78,0.8125,78,0.0,0
2048,all_of,product_compiler,96,78,0.8125,58,0.5,3
2048,all_of,static_source,96,0,0.0,0,0.0,0
2048,branch,dynamic_source,80,67,0.8375,16,4.4627,11
2048,branch,optimal_product,80,72,0.9,72,0.0,0
2048,branch,product_compiler,80,72,0.9,64,0.3056,6
2048,branch,static_source,80,0,0.0,0,0.0,0
2048,condition_then,dynamic_source,96,84,0.875,74,0.2262,4
2048,condition_then,optimal_product,96,84,0.875,84,0.0,0
2048,condition_then,product_compiler,96,84,0.875,80,0.0476,1
2048,condition_then,static_source,96,0,0.0,0,0.0,0
2048,sequence,dynamic_source,96,78,0.8125,70,0.1282,2
2048,sequence,optimal_product,96,78,0.8125,78,0.0,0
2048,sequence,product_compiler,96,78,0.8125,70,0.1282,2
2048,sequence,static_source,96,0,0.0,0,0.0,0
4096,all_of,dynamic_source,96,90,0.9375,59,1.0,8
4096,all_of,optimal_product,96,90,0.9375,90,0.0,0
4096,all_of,product_compiler,96,90,0.9375,73,0.3667,5
4096,all_of,static_source,96,0,0.0,0,0.0,0
4096,branch,dynamic_source,80,76,0.95,17,4.6316,11
4096,branch,optimal_product,80,79,0.9875,79,0.0,0
4096,branch,product_compiler,80,79,0.9875,73,0.2532,6
4096,branch,static_source,80,0,0.0,0,0.0,0
4096,condition_then,dynamic_source,96,91,0.9479,83,0.2198,4
4096,condition_then,optimal_product,96,91,0.9479,91,0.0,0
4096,condition_then,product_compiler,96,91,0.9479,90,0.022,2
4096,condition_then,static_source,96,0,0.0,0,0.0,0
4096,sequence,dynamic_source,96,88,0.9167,79,0.1364,2
4096,sequence,optimal_product,96,88,0.9167,88,0.0,0
4096,sequence,product_compiler,96,88,0.9167,79,0.1364,2
4096,sequence,static_source,96,0,0.0,0,0.0,0
8192,all_of,dynamic_source,96,96,1.0,63,1.0625,9
8192,all_of,optimal_product,96,96,1.0,96,0.0,0
8192,all_of,product_compiler,96,96,1.0,81,0.3542,5
8192,all_of,static_source,96,0,0.0,0,0.0,0
8192,branch,dynamic_source,80,80,1.0,16,4.75,11
8192,branch,optimal_product,80,80,1.0,80,0.0,0
8192,branch,product_compiler,80,80,1.0,75,0.2125,6
8192,branch,static_source,80,0,0.0,0,0.0,0
8192,condition_then,dynamic_source,96,96,1.0,85,0.2083,4
8192,condition_then,optimal_product,96,96,1.0,96,0.0,0
8192,condition_then,product_compiler,96,96,1.0,92,0.0417,1
8192,condition_then,static_source,96,0,0.0,0,0.0,0
8192,sequence,dynamic_source,96,96,1.0,87,0.125,2
8192,sequence,optimal_product,96,96,1.0,96,0.0,0
8192,sequence,product_compiler,96,96,1.0,87,0.125,2
8192,sequence,static_source,96,0,0.0,0,0.0,0
