slip,seed,task_id,task_type,planner,p_success,expected_cost,expected_steps_given_success,true_product_states,learned_states
0.0,2101,0,sequence,linear,1.0,20.0,20.0,693,170
0.0,2101,0,sequence,shortest,1.0,20.0,20.0,693,170
0.0,2101,0,sequence,linear_empirical,1.0,20.0,20.0,693,170
0.0,2101,0,sequence,certainty_equivalent,1.0,20.0,20.0,693,170
0.0,2101,0,sequence,linear_oracle,1.0,18.0,18.0,693,170
0.0,2101,0,sequence,shortest_oracle,1.0,18.0,18.0,693,170
0.0,2101,0,sequence,ssp_optimal,1.0,18.0,18.0,693,170
0.0,2101,1,all_of,linear,1.0,11.0,11.0,1380,170
0.0,2101,1,all_of,shortest,1.0,11.0,11.0,1380,170
0.0,2101,1,all_of,linear_empirical,1.0,11.0,11.0,1380,170
0.0,2101,1,all_of,certainty_equivalent,1.0,11.0,11.0,1380,170
0.0,2101,1,all_of,linear_oracle,1.0,10.0,10.0,1380,170
0.0,2101,1,all_of,shortest_oracle,1.0,10.0,10.0,1380,170
0.0,2101,1,all_of,ssp_optimal,1.0,10.0,10.0,1380,170
0.0,2101,2,condition_then,linear,1.0,6.0,6.0,419,170
0.0,2101,2,condition_then,shortest,1.0,6.0,6.0,419,170
0.0,2101,2,condition_then,linear_empirical,1.0,6.0,6.0,419,170
0.0,2101,2,condition_then,certainty_equivalent,1.0,6.0,6.0,419,170
0.0,2101,2,condition_then,linear_oracle,1.0,6.0,6.0,419,170
0.0,2101,2,condition_then,shortest_oracle,1.0,6.0,6.0,419,170
0.0,2101,2,condition_then,ssp_optimal,1.0,6.0,6.0,419,170
0.0,2101,3,sequence,linear,1.0,22.0,22.0,693,170
0.0,2101,3,sequence,shortest,1.0,22.0,22.0,693,170
0.0,2101,3,sequence,linear_empirical,1.0,22.0,22.0,693,170
0.0,2101,3,sequence,certainty_equivalent,1.0,22.0,22.0,693,170
0.0,2101,3,sequence,linear_oracle,1.0,22.0,22.0,693,170
0.0,2101,3,sequence,shortest_oracle,1.0,22.0,22.0,693,170
0.0,2101,3,sequence,ssp_optimal,1.0,22.0,22.0,693,170
0.0,2101,4,all_of,linear,1.0,17.0,17.0,1380,170
0.0,2101,4,all_of,shortest,1.0,17.0,17.0,1380,170
0.0,2101,4,all_of,linear_empirical,1.0,17.0,17.0,1380,170
0.0,2101,4,all_of,certainty_equivalent,1.0,17.0,17.0,1380,170
0.0,2101,4,all_of,linear_oracle,1.0,17.0,17.0,1380,170
0.0,2101,4,all_of,shortest_oracle,1.0,17.0,17.0,1380,170
0.0,2101,4,all_of,ssp_optimal,1.0,17.0,17.0,1380,170
0.0,2101,5,condition_then,linear,1.0,9.0,9.0,379,170
0.0,2101,5,condition_then,shortest,1.0,9.0,9.0,379,170
0.0,2101,5,condition_then,linear_empirical,1.0,9.0,9.0,379,170
0.0,2101,5,condition_then,certainty_equivalent,1.0,9.0,9.0,379,170
0.0,2101,5,condition_then,linear_oracle,1.0,9.0,9.0,379,170
0.0,2101,5,condition_then,shortest_oracle,1.0,9.0,9.0,379,170
0.0,2101,5,condition_then,ssp_optimal,1.0,9.0,9.0,379,170
0.0,2101,6,sequence,linear,1.0,14.0,14.0,693,170
0.0,2101,6,sequence,shortest,1.0,14.0,14.0,693,170
0.0,2101,6,sequence,linear_empirical,1.0,14.0,14.0,693,170
0.0,2101,6,sequence,certainty_equivalent,1.0,14.0,14.0,693,170
0.0,2101,6,sequence,linear_oracle,1.0,14.0,14.0,693,170
0.0,2101,6,sequence,shortest_oracle,1.0,14.0,14.0,693,170
0.0,2101,6,sequence,ssp_optimal,1.0,14.0,14.0,693,170
0.0,2101,7,all_of,linear,1.0,10.0,10.0,1380,170
0.0,2101,7,all_of,shortest,1.0,10.0,10.0,1380,170
0.0,2101,7,all_of,linear_empirical,1.0,10.0,10.0,1380,170
0.0,2101,7,all_of,certainty_equivalent,1.0,10.0,10.0,1380,170
0.0,2101,7,all_of,linear_oracle,1.0,10.0,10.0,1380,170
0.0,2101,7,all_of,shortest_oracle,1.0,10.0,10.0,1380,170
0.0,2101,7,all_of,ssp_optimal,1.0,10.0,10.0,1380,170
0.0,2101,8,condition_then,linear,1.0,3.0,3.0,434,170
0.0,2101,8,condition_then,shortest,1.0,3.0,3.0,434,170
0.0,2101,8,condition_then,linear_empirical,1.0,3.0,3.0,434,170
0.0,2101,8,condition_then,certainty_equivalent,1.0,3.0,3.0,434,170
0.0,2101,8,condition_then,linear_oracle,1.0,3.0,3.0,434,170
0.0,2101,8,condition_then,shortest_oracle,1.0,3.0,3.0,434,170
0.0,2101,8,condition_then,ssp_optimal,1.0,3.0,3.0,434,170
0.0,2101,9,sequence,linear,1.0,21.0,21.0,693,170
0.0,2101,9,sequence,shortest,1.0,21.0,21.0,693,170
0.0,2101,9,sequence,linear_empirical,1.0,21.0,21.0,693,170
0.0,2101,9,sequence,certainty_equivalent,1.0,21.0,21.0,693,170
0.0,2101,9,sequence,linear_oracle,1.0,21.0,21.0,693,170
0.0,2101,9,sequence,shortest_oracle,1.0,21.0,21.0,693,170
0.0,2101,9,sequence,ssp_optimal,1.0,21.0,21.0,693,170
0.0,2101,10,all_of,linear,1.0,19.0,19.0,1380,170
0.0,2101,10,all_of,shortest,1.0,19.0,19.0,1380,170
0.0,2101,10,all_of,linear_empirical,1.0,19.0,19.0,1380,170
0.0,2101,10,all_of,certainty_equivalent,1.0,19.0,19.0,1380,170
0.0,2101,10,all_of,linear_oracle,1.0,20.0,20.0,1380,170
0.0,2101,10,all_of,shortest_oracle,1.0,19.0,19.0,1380,170
0.0,2101,10,all_of,ssp_optimal,1.0,19.0,19.0,1380,170
0.0,2101,11,condition_then,linear,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,shortest,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,linear_empirical,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,certainty_equivalent,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,linear_oracle,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,shortest_oracle,1.0,12.0,12.0,501,170
0.0,2101,11,condition_then,ssp_optimal,1.0,12.0,12.0,501,170
0.0,2101,12,sequence,linear,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,shortest,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,linear_empirical,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,certainty_equivalent,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,linear_oracle,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,shortest_oracle,1.0,20.0,20.0,693,170
0.0,2101,12,sequence,ssp_optimal,1.0,20.0,20.0,693,170
0.0,2101,13,all_of,linear,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,shortest,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,linear_empirical,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,certainty_equivalent,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,linear_oracle,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,shortest_oracle,1.0,13.0,13.0,1380,170
0.0,2101,13,all_of,ssp_optimal,1.0,13.0,13.0,1380,170
0.0,2101,14,condition_then,linear,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,shortest,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,linear_empirical,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,certainty_equivalent,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,linear_oracle,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,shortest_oracle,1.0,5.0,5.0,505,170
0.0,2101,14,condition_then,ssp_optimal,1.0,5.0,5.0,505,170
0.0,2101,15,sequence,linear,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,shortest,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,linear_empirical,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,certainty_equivalent,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,linear_oracle,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,shortest_oracle,1.0,18.0,18.0,693,170
0.0,2101,15,sequence,ssp_optimal,1.0,18.0,18.0,693,170
0.0,2101,16,all_of,linear,1.0,17.0,17.0,1380,170
0.0,2101,16,all_of,shortest,1.0,16.0,16.0,1380,170
0.0,2101,16,all_of,linear_empirical,1.0,17.0,17.0,1380,170
0.0,2101,16,all_of,certainty_equivalent,1.0,16.0,16.0,1380,170
0.0,2101,16,all_of,linear_oracle,1.0,15.0,15.0,1380,170
0.0,2101,16,all_of,shortest_oracle,1.0,14.0,14.0,1380,170
0.0,2101,16,all_of,ssp_optimal,1.0,14.0,14.0,1380,170
0.0,2101,17,condition_then,linear,1.0,9.0,9.0,505,170
0.0,2101,17,condition_then,shortest,1.0,9.0,9.0,505,170
0.0,2101,17,condition_then,linear_empirical,1.0,9.0,9.0,505,170
0.0,2101,17,condition_then,certainty_equivalent,1.0,9.0,9.0,505,170
0.0,2101,17,condition_then,linear_oracle,1.0,8.0,8.0,505,170
0.0,2101,17,condition_then,shortest_oracle,1.0,8.0,8.0,505,170
0.0,2101,17,condition_then,ssp_optimal,1.0,8.0,8.0,505,170
0.0,2101,18,sequence,linear,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,shortest,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,linear_empirical,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,certainty_equivalent,1.0,21.0,21.0,693,170
0.0,2101,18,sequence,linear_oracle,1.0,21.0,21.0,693,170
