slip,seed,task_id,task_type,method,success,steps,replans,why,shortest_in_model,learned_states
0.0,2101,0,sequence,linear,True,20,1,success,20,170
0.0,2101,0,sequence,linear_empirical,True,20,1,success,20,170
0.0,2101,0,sequence,shortest,True,20,1,success,20,170
0.0,2101,0,sequence,expected,True,20,1,success,20,170
0.0,2101,1,all_of,linear,True,11,1,success,11,170
0.0,2101,1,all_of,linear_empirical,True,11,1,success,11,170
0.0,2101,1,all_of,shortest,True,11,1,success,11,170
0.0,2101,1,all_of,expected,True,11,1,success,11,170
0.0,2101,2,condition_then,linear,True,6,1,success,6,170
0.0,2101,2,condition_then,linear_empirical,True,6,1,success,6,170
0.0,2101,2,condition_then,shortest,True,6,1,success,6,170
0.0,2101,2,condition_then,expected,True,6,1,success,6,170
0.0,2101,3,sequence,linear,True,22,1,success,22,170
0.0,2101,3,sequence,linear_empirical,True,22,1,success,22,170
0.0,2101,3,sequence,shortest,True,22,1,success,22,170
0.0,2101,3,sequence,expected,True,22,1,success,22,170
0.0,2101,4,all_of,linear,True,17,1,success,17,170
0.0,2101,4,all_of,linear_empirical,True,17,1,success,17,170
0.0,2101,4,all_of,shortest,True,17,1,success,17,170
0.0,2101,4,all_of,expected,True,17,1,success,17,170
0.0,2101,5,condition_then,linear,True,9,1,success,9,170
0.0,2101,5,condition_then,linear_empirical,True,9,1,success,9,170
0.0,2101,5,condition_then,shortest,True,9,1,success,9,170
0.0,2101,5,condition_then,expected,True,9,1,success,9,170
0.0,2101,6,sequence,linear,True,14,1,success,14,170
0.0,2101,6,sequence,linear_empirical,True,14,1,success,14,170
0.0,2101,6,sequence,shortest,True,14,1,success,14,170
0.0,2101,6,sequence,expected,True,14,1,success,14,170
0.0,2101,7,all_of,linear,True,10,1,success,10,170
0.0,2101,7,all_of,linear_empirical,True,10,1,success,10,170
0.0,2101,7,all_of,shortest,True,10,1,success,10,170
0.0,2101,7,all_of,expected,True,10,1,success,10,170
0.0,2101,8,condition_then,linear,True,3,1,success,3,170
0.0,2101,8,condition_then,linear_empirical,True,3,1,success,3,170
0.0,2101,8,condition_then,shortest,True,3,1,success,3,170
0.0,2101,8,condition_then,expected,True,3,1,success,3,170
0.0,2101,9,sequence,linear,True,21,1,success,21,170
0.0,2101,9,sequence,linear_empirical,True,21,1,success,21,170
0.0,2101,9,sequence,shortest,True,21,1,success,21,170
0.0,2101,9,sequence,expected,True,21,1,success,21,170
0.0,2101,10,all_of,linear,True,19,1,success,19,170
0.0,2101,10,all_of,linear_empirical,True,19,1,success,19,170
