seed,task_id,task_type,policy,starts_in_model,shortest_at_512,success,task_steps,exploration_steps,replans,failure_reason,states_known_at_end,seconds,post_hoc
2101,0,sequence,structural,True,27,True,27,0,27,success,128,0.129,False
2101,0,sequence,task_conditioned,True,27,True,27,0,27,success,128,0.145,False
2101,0,sequence,frontier_t0,True,27,True,27,0,27,success,128,0.13,True
2101,0,sequence,task_conditioned_t0,True,27,True,27,0,27,success,128,0.141,True
2101,1,all_of,structural,True,17,True,17,0,17,success,128,0.112,False
2101,1,all_of,task_conditioned,True,17,True,17,0,17,success,128,0.115,False
2101,1,all_of,frontier_t0,True,17,True,17,0,17,success,128,0.112,True
2101,1,all_of,task_conditioned_t0,True,17,True,17,0,17,success,128,0.105,True
2101,2,condition_then,structural,True,6,True,6,0,6,success,128,0.024,False
2101,2,condition_then,task_conditioned,True,6,True,6,0,6,success,128,0.02,False
2101,2,condition_then,frontier_t0,True,6,True,6,0,6,success,128,0.021,True
2101,2,condition_then,task_conditioned_t0,True,6,True,6,0,6,success,128,0.023,True
2101,3,sequence,structural,False,,True,366,337,366,success,130,0.77,False
2101,3,sequence,task_conditioned,False,,True,48,42,48,success,132,0.1,False
2101,3,sequence,frontier_t0,False,,True,138,109,138,success,130,0.408,True
2101,3,sequence,task_conditioned_t0,False,,True,90,61,90,success,130,0.341,True
2101,4,all_of,structural,False,,True,375,371,375,success,138,0.792,False
2101,4,all_of,task_conditioned,False,,True,292,292,292,success,138,0.579,False
2101,4,all_of,frontier_t0,False,,True,147,143,147,success,138,0.449,True
2101,4,all_of,task_conditioned_t0,False,,True,99,95,99,success,138,0.343,True
2101,5,condition_then,structural,True,7,True,7,0,7,success,128,0.032,False
2101,5,condition_then,task_conditioned,True,7,True,7,0,7,success,128,0.034,False
2101,5,condition_then,frontier_t0,True,7,True,7,0,7,success,128,0.035,True
2101,5,condition_then,task_conditioned_t0,True,7,True,7,0,7,success,128,0.032,True
2101,6,sequence,structural,True,20,True,20,0,20,success,128,0.091,False
2101,6,sequence,task_conditioned,True,20,True,20,0,20,success,128,0.096,False
2101,6,sequence,frontier_t0,True,20,True,20,0,20,success,128,0.104,True
2101,6,sequence,task_conditioned_t0,True,20,True,20,0,20,success,128,0.106,True
2101,7,all_of,structural,False,,True,387,372,387,success,156,1.835,False
2101,7,all_of,task_conditioned,False,,True,401,401,401,success,155,0.907,False
2101,7,all_of,frontier_t0,False,,True,255,240,255,success,156,1.068,True
2101,7,all_of,task_conditioned_t0,False,,True,171,171,171,success,155,0.44,True
2101,8,condition_then,structural,True,14,True,14,0,14,success,128,0.053,False
2101,8,condition_then,task_conditioned,True,14,True,14,0,14,success,128,0.057,False
2101,8,condition_then,frontier_t0,True,14,True,14,0,14,success,128,0.052,True
2101,8,condition_then,task_conditioned_t0,True,14,True,14,0,14,success,128,0.082,True
2101,9,sequence,structural,True,25,True,26,0,26,success,128,0.126,False
2101,9,sequence,task_conditioned,True,25,True,26,0,26,success,128,0.131,False
2101,9,sequence,frontier_t0,True,25,True,26,0,26,success,128,0.131,True
2101,9,sequence,task_conditioned_t0,True,25,True,26,0,26,success,128,0.124,True
2101,10,all_of,structural,False,,True,207,207,207,success,130,0.397,False
2101,10,all_of,task_conditioned,False,,True,240,240,240,success,130,0.472,False
2101,10,all_of,frontier_t0,False,,True,141,141,141,success,128,0.389,True
2101,10,all_of,task_conditioned_t0,False,,True,75,68,75,success,130,0.253,True
2101,11,condition_then,structural,False,,True,232,232,232,success,135,0.253,False
2101,11,condition_then,task_conditioned,False,,True,251,251,251,success,136,0.482,False
2101,11,condition_then,frontier_t0,False,,True,168,168,168,success,135,0.263,True
2101,11,condition_then,task_conditioned_t0,False,,True,100,100,100,success,135,0.196,True
2101,12,sequence,structural,False,,True,20,9,20,success,134,0.051,False
2101,12,sequence,task_conditioned,False,,True,20,9,20,success,134,0.05,False
2101,12,sequence,frontier_t0,False,,True,20,9,20,success,134,0.053,True
2101,12,sequence,task_conditioned_t0,False,,True,20,9,20,success,134,0.058,True
2101,13,all_of,structural,False,,True,27,9,27,success,134,0.111,False
2101,13,all_of,task_conditioned,False,,True,27,9,27,success,134,0.106,False
2101,13,all_of,frontier_t0,False,,True,27,9,27,success,134,0.112,True
2101,13,all_of,task_conditioned_t0,False,,True,27,9,27,success,134,0.115,True
2101,14,condition_then,structural,False,,True,18,9,18,success,134,0.032,False
2101,14,condition_then,task_conditioned,False,,True,18,9,18,success,134,0.033,False
2101,14,condition_then,frontier_t0,False,,True,18,9,18,success,134,0.032,True
2101,14,condition_then,task_conditioned_t0,False,,True,18,9,18,success,134,0.032,True
2101,15,sequence,structural,True,28,True,28,0,28,success,128,0.117,False
2101,15,sequence,task_conditioned,True,28,True,28,0,28,success,128,0.117,False
2101,15,sequence,frontier_t0,True,28,True,28,0,28,success,128,0.121,True
2101,15,sequence,task_conditioned_t0,True,28,True,28,0,28,success,128,0.132,True
2101,16,all_of,structural,False,,True,248,237,248,success,138,1.082,False
2101,16,all_of,task_conditioned,False,,True,326,326,326,success,137,0.643,False
2101,16,all_of,frontier_t0,False,,True,184,173,184,success,138,0.827,True
2101,16,all_of,task_conditioned_t0,False,,True,116,105,116,success,138,0.347,True
2101,17,condition_then,structural,True,9,True,9,0,9,success,128,0.035,False
2101,17,condition_then,task_conditioned,True,9,True,9,0,9,success,128,0.032,False
2101,17,condition_then,frontier_t0,True,9,True,9,0,9,success,128,0.042,True
2101,17,condition_then,task_conditioned_t0,True,9,True,9,0,9,success,128,0.046,True
2101,18,sequence,structural,True,24,True,24,0,24,success,128,0.107,False
2101,18,sequence,task_conditioned,True,24,True,24,0,24,success,128,0.12,False
2101,18,sequence,frontier_t0,True,24,True,24,0,24,success,128,0.132,True
2101,18,sequence,task_conditioned_t0,True,24,True,24,0,24,success,128,0.118,True
2101,19,all_of,structural,True,12,True,12,0,12,success,128,0.086,False
2101,19,all_of,task_conditioned,True,12,True,12,0,12,success,128,0.093,False
2101,19,all_of,frontier_t0,True,12,True,12,0,12,success,128,0.09,True
2101,19,all_of,task_conditioned_t0,True,12,True,12,0,12,success,128,0.079,True
2101,20,condition_then,structural,True,9,True,9,0,9,success,128,0.04,False
2101,20,condition_then,task_conditioned,True,9,True,9,0,9,success,128,0.047,False
2101,20,condition_then,frontier_t0,True,9,True,9,0,9,success,128,0.04,True
2101,20,condition_then,task_conditioned_t0,True,9,True,9,0,9,success,128,0.042,True
2101,21,sequence,structural,True,19,True,19,0,19,success,128,0.088,False
2101,21,sequence,task_conditioned,True,19,True,19,0,19,success,128,0.091,False
2101,21,sequence,frontier_t0,True,19,True,19,0,19,success,128,0.09,True
2101,21,sequence,task_conditioned_t0,True,19,True,19,0,19,success,128,0.093,True
2101,22,all_of,structural,True,18,True,18,0,18,success,128,0.136,False
2101,22,all_of,task_conditioned,True,18,True,18,0,18,success,128,0.131,False
2101,22,all_of,frontier_t0,True,18,True,18,0,18,success,128,0.118,True
