seed,task_id,task_type,policy,starts_in_model,shortest_at_512,success,task_steps,exploration_steps,replans,failure_reason,states_known_at_end,seconds,post_hoc
2505,0,sequence,structural,True,17,True,17,0,17,success,137,0.104,False
2505,0,sequence,frontier,True,17,True,17,0,17,success,137,0.11,False
2505,0,sequence,uncertainty,True,17,True,17,0,17,success,137,0.117,False
2505,0,sequence,task_conditioned,True,17,True,17,0,17,success,137,0.106,False
2505,0,sequence,frontier_t0,True,17,True,17,0,17,success,137,0.102,True
2505,0,sequence,task_conditioned_t0,True,17,True,17,0,17,success,137,0.104,True
2505,1,all_of,structural,False,,True,86,74,86,success,143,0.612,False
2505,1,all_of,frontier,False,,True,367,363,367,success,144,1.575,False
2505,1,all_of,uncertainty,False,,True,1360,1360,1360,success,173,3.203,False
2505,1,all_of,task_conditioned,False,,True,454,454,454,success,152,1.094,False
2505,1,all_of,frontier_t0,False,,True,93,81,93,success,155,0.365,True
2505,1,all_of,task_conditioned_t0,False,,True,115,101,115,success,159,0.477,True
2505,2,condition_then,structural,True,6,True,6,0,6,success,137,0.025,False
2505,2,condition_then,frontier,True,6,True,6,0,6,success,137,0.026,False
2505,2,condition_then,uncertainty,True,6,True,6,0,6,success,137,0.023,False
2505,2,condition_then,task_conditioned,True,6,True,6,0,6,success,137,0.022,False
2505,2,condition_then,frontier_t0,True,6,True,6,0,6,success,137,0.022,True
2505,2,condition_then,task_conditioned_t0,True,6,True,6,0,6,success,137,0.022,True
2505,3,sequence,structural,False,,True,352,344,352,success,231,0.481,False
2505,3,sequence,frontier,False,,True,1035,1028,1035,success,226,1.854,False
2505,3,sequence,uncertainty,False,,True,2345,2337,2345,success,235,3.729,False
2505,3,sequence,task_conditioned,False,,True,1035,1028,1035,success,226,2.246,False
2505,3,sequence,frontier_t0,False,,True,365,358,365,success,230,0.499,True
2505,3,sequence,task_conditioned_t0,False,,True,365,358,365,success,230,0.728,True
2505,4,all_of,structural,False,,True,343,343,343,success,231,0.503,False
2505,4,all_of,frontier,False,,True,1026,1026,1026,success,225,2.334,False
2505,4,all_of,uncertainty,False,,True,2336,2336,2336,success,235,8.519,False
2505,4,all_of,task_conditioned,False,,True,1026,1026,1026,success,225,3.648,False
2505,4,all_of,frontier_t0,False,,True,356,356,356,success,229,0.804,True
2505,4,all_of,task_conditioned_t0,False,,True,322,322,322,success,227,1.018,True
2505,5,condition_then,structural,False,,True,272,249,272,success,210,1.0,False
2505,5,condition_then,frontier,False,,True,655,632,655,success,210,1.983,False
2505,5,condition_then,uncertainty,False,,True,655,632,655,success,210,1.587,False
2505,5,condition_then,task_conditioned,False,,True,653,653,653,success,213,2.127,False
2505,5,condition_then,frontier_t0,False,,True,295,272,295,success,212,1.001,True
2505,5,condition_then,task_conditioned_t0,False,,True,565,565,565,success,286,1.83,True
2505,6,sequence,structural,False,,True,346,337,346,success,227,0.624,False
2505,6,sequence,frontier,False,,True,989,979,989,success,217,1.967,False
2505,6,sequence,uncertainty,False,,True,2510,2501,2510,success,228,5.029,False
2505,6,sequence,task_conditioned,False,,True,989,979,989,success,217,4.173,False
2505,6,sequence,frontier_t0,False,,True,371,362,371,success,232,0.999,True
2505,6,sequence,task_conditioned_t0,False,,True,371,362,371,success,232,1.311,True
2505,7,all_of,structural,False,,True,336,336,336,success,227,0.861,False
2505,7,all_of,frontier,False,,True,972,972,972,success,212,2.862,False
2505,7,all_of,uncertainty,False,,True,2500,2500,2500,success,228,4.394,False
2505,7,all_of,task_conditioned,False,,True,972,972,972,success,212,2.156,False
2505,7,all_of,frontier_t0,False,,True,361,361,361,success,232,0.547,True
2505,7,all_of,task_conditioned_t0,False,,True,361,361,361,success,232,0.74,True
2505,8,condition_then,structural,False,,True,51,48,51,success,155,0.049,False
2505,8,condition_then,frontier,False,,True,507,504,507,success,156,0.612,False
2505,8,condition_then,uncertainty,False,,True,606,603,606,success,149,0.64,False
2505,8,condition_then,task_conditioned,False,,True,507,504,507,success,156,0.9,False
2505,8,condition_then,frontier_t0,False,,True,51,48,51,success,155,0.057,True
2505,8,condition_then,task_conditioned_t0,False,,True,51,48,51,success,155,0.075,True
2505,9,sequence,structural,False,,True,614,592,614,success,289,0.962,False
2505,9,sequence,frontier,False,,True,1023,1001,1023,success,267,1.644,False
2505,9,sequence,uncertainty,False,,True,1406,1384,1406,success,267,1.964,False
2505,9,sequence,task_conditioned,False,,True,1023,1001,1023,success,267,2.793,False
2505,9,sequence,frontier_t0,False,,True,535,513,535,success,267,1.274,True
2505,9,sequence,task_conditioned_t0,False,,True,535,513,535,success,267,2.647,True
2505,10,all_of,structural,False,,True,610,592,610,success,289,6.076,False
2505,10,all_of,frontier,False,,True,1000,1000,1000,success,267,4.83,False
2505,10,all_of,uncertainty,False,,True,1396,1384,1396,success,267,5.328,False
2505,10,all_of,task_conditioned,False,,True,1000,1000,1000,success,267,2.482,False
2505,10,all_of,frontier_t0,False,,True,531,513,531,success,267,3.262,True
2505,10,all_of,task_conditioned_t0,False,,True,531,513,531,success,267,3.487,True
2505,11,condition_then,structural,False,,True,320,320,320,success,224,0.426,False
2505,11,condition_then,frontier,False,,True,829,829,829,success,225,1.937,False
