seed,task_id,task_type,policy,starts_in_model,shortest_at_512,success,task_steps,exploration_steps,replans,failure_reason,states_known_at_end,seconds,post_hoc
2404,0,sequence,structural,False,,True,25,6,25,success,151,0.138,False
2404,0,sequence,frontier,False,,True,25,6,25,success,151,0.137,False
2404,0,sequence,uncertainty,False,,True,25,6,25,success,151,0.13,False
2404,0,sequence,task_conditioned,False,,True,25,6,25,success,151,0.13,False
2404,0,sequence,frontier_t0,False,,True,25,6,25,success,151,0.134,True
2404,0,sequence,task_conditioned_t0,False,,True,25,6,25,success,151,0.156,True
2404,1,all_of,structural,False,,True,26,6,26,success,151,0.244,False
2404,1,all_of,frontier,False,,True,26,6,26,success,151,0.231,False
2404,1,all_of,uncertainty,False,,True,26,6,26,success,151,0.259,False
2404,1,all_of,task_conditioned,False,,True,26,6,26,success,151,0.249,False
2404,1,all_of,frontier_t0,False,,True,26,6,26,success,151,0.252,True
2404,1,all_of,task_conditioned_t0,False,,True,26,6,26,success,151,0.262,True
2404,2,condition_then,structural,False,,True,19,6,19,success,151,0.07,False
2404,2,condition_then,frontier,False,,True,19,6,19,success,151,0.078,False
2404,2,condition_then,uncertainty,False,,True,19,6,19,success,151,0.076,False
2404,2,condition_then,task_conditioned,False,,True,19,6,19,success,151,0.065,False
2404,2,condition_then,frontier_t0,False,,True,19,6,19,success,151,0.068,True
2404,2,condition_then,task_conditioned_t0,False,,True,19,6,19,success,151,0.061,True
2404,3,sequence,structural,False,,True,156,126,156,success,175,0.687,False
2404,3,sequence,frontier,False,,True,582,570,582,success,177,2.51,False
2404,3,sequence,uncertainty,False,,True,582,570,582,success,177,2.072,False
2404,3,sequence,task_conditioned,False,,True,567,567,567,success,176,1.25,False
2404,3,sequence,frontier_t0,False,,True,156,126,156,success,175,0.633,True
2404,3,sequence,task_conditioned_t0,False,,True,156,126,156,success,175,0.623,True
2404,4,all_of,structural,True,15,True,15,0,15,success,148,0.146,False
2404,4,all_of,frontier,True,15,True,15,0,15,success,148,0.158,False
2404,4,all_of,uncertainty,True,15,True,15,0,15,success,148,0.146,False
2404,4,all_of,task_conditioned,True,15,True,15,0,15,success,148,0.139,False
2404,4,all_of,frontier_t0,True,15,True,15,0,15,success,148,0.146,True
2404,4,all_of,task_conditioned_t0,True,15,True,15,0,15,success,148,0.139,True
2404,5,condition_then,structural,True,9,True,9,0,9,success,148,0.033,False
2404,5,condition_then,frontier,True,9,True,9,0,9,success,148,0.035,False
2404,5,condition_then,uncertainty,True,9,True,9,0,9,success,148,0.035,False
2404,5,condition_then,task_conditioned,True,9,True,9,0,9,success,148,0.029,False
2404,5,condition_then,frontier_t0,True,9,True,9,0,9,success,148,0.034,True
2404,5,condition_then,task_conditioned_t0,True,9,True,9,0,9,success,148,0.046,True
2404,6,sequence,structural,False,,True,371,359,371,success,232,0.462,False
2404,6,sequence,frontier,False,,True,1086,1074,1086,success,235,1.584,False
2404,6,sequence,uncertainty,False,,True,3282,3270,3282,success,258,5.158,False
2404,6,sequence,task_conditioned,False,,True,1086,1074,1086,success,235,3.862,False
2404,6,sequence,frontier_t0,False,,True,371,359,371,success,232,1.697,True
2404,6,sequence,task_conditioned_t0,False,,True,371,359,371,success,232,1.627,True
2404,7,all_of,structural,False,,True,358,358,358,success,232,0.865,False
2404,7,all_of,frontier,False,,True,1073,1073,1073,success,235,3.083,False
2404,7,all_of,uncertainty,False,,True,3269,3269,3269,success,258,8.03,False
2404,7,all_of,task_conditioned,False,,True,1073,1073,1073,success,235,3.526,False
2404,7,all_of,frontier_t0,False,,True,358,358,358,success,232,0.827,True
2404,7,all_of,task_conditioned_t0,False,,True,358,358,358,success,232,1.11,True
2404,8,condition_then,structural,False,,True,202,191,202,success,195,0.366,False
2404,8,condition_then,frontier,False,,True,556,540,556,success,191,1.21,False
2404,8,condition_then,uncertainty,False,,True,556,540,556,success,191,0.968,False
2404,8,condition_then,task_conditioned,False,,True,556,540,556,success,191,1.466,False
2404,8,condition_then,frontier_t0,False,,True,202,191,202,success,195,0.38,True
2404,8,condition_then,task_conditioned_t0,False,,True,202,191,202,success,195,0.461,True
2404,9,sequence,structural,False,,True,192,160,192,success,179,0.826,False
2404,9,sequence,frontier,False,,True,971,965,971,success,221,2.355,False
2404,9,sequence,uncertainty,False,,True,1540,1534,1540,success,220,4.124,False
2404,9,sequence,task_conditioned,False,,True,971,965,971,success,221,3.497,False
2404,9,sequence,frontier_t0,False,,True,322,282,322,success,215,1.718,True
2404,9,sequence,task_conditioned_t0,False,,True,332,292,332,success,216,1.722,True
2404,10,all_of,structural,False,,True,177,160,177,success,179,0.934,False
2404,10,all_of,frontier,False,,True,964,964,964,success,221,2.66,False
2404,10,all_of,uncertainty,False,,True,1533,1533,1533,success,220,3.196,False
2404,10,all_of,task_conditioned,False,,True,964,964,964,success,221,2.123,False
2404,10,all_of,frontier_t0,False,,True,299,282,299,success,215,1.413,True
2404,10,all_of,task_conditioned_t0,False,,True,103,93,103,success,173,0.283,True
2404,11,condition_then,structural,True,7,True,7,0,7,success,148,0.023,False
2404,11,condition_then,frontier,True,7,True,7,0,7,success,148,0.023,False
2404,11,condition_then,uncertainty,True,7,True,7,0,7,success,148,0.023,False
2404,11,condition_then,task_conditioned,True,7,True,7,0,7,success,148,0.027,False
2404,11,condition_then,frontier_t0,True,7,True,7,0,7,success,148,0.028,True
2404,11,condition_then,task_conditioned_t0,True,7,True,7,0,7,success,148,0.025,True
2404,12,sequence,structural,False,,True,247,224,247,success,208,0.746,False
2404,12,sequence,frontier,False,,True,685,662,685,success,211,2.382,False
2404,12,sequence,uncertainty,False,,True,3264,3264,3264,success,240,9.292,False
2404,12,sequence,task_conditioned,False,,True,992,992,992,success,229,3.225,False
2404,12,sequence,frontier_t0,False,,True,247,224,247,success,208,1.385,True
2404,12,sequence,task_conditioned_t0,False,,True,245,222,245,success,206,1.477,True
2404,13,all_of,structural,True,14,True,16,0,16,success,148,0.228,False
2404,13,all_of,frontier,True,14,True,16,0,16,success,148,0.166,False
2404,13,all_of,uncertainty,True,14,True,16,0,16,success,148,0.182,False
2404,13,all_of,task_conditioned,True,14,True,16,0,16,success,148,0.167,False
2404,13,all_of,frontier_t0,True,14,True,16,0,16,success,148,0.2,True
2404,13,all_of,task_conditioned_t0,True,14,True,16,0,16,success,148,0.147,True
2404,14,condition_then,structural,True,12,True,12,0,12,success,148,0.068,False
2404,14,condition_then,frontier,True,12,True,12,0,12,success,148,0.061,False
2404,14,condition_then,uncertainty,True,12,True,12,0,12,success,148,0.066,False
2404,14,condition_then,task_conditioned,True,12,True,12,0,12,success,148,0.061,False
2404,14,condition_then,frontier_t0,True,12,True,12,0,12,success,148,0.069,True
2404,14,condition_then,task_conditioned_t0,True,12,True,12,0,12,success,148,0.058,True
2404,15,sequence,structural,True,23,True,23,0,23,success,148,0.177,False
2404,15,sequence,frontier,True,23,True,23,0,23,success,148,0.144,False
2404,15,sequence,uncertainty,True,23,True,23,0,23,success,148,0.149,False
2404,15,sequence,task_conditioned,True,23,True,23,0,23,success,148,0.143,False
2404,15,sequence,frontier_t0,True,23,True,23,0,23,success,148,0.19,True
2404,15,sequence,task_conditioned_t0,True,23,True,23,0,23,success,148,0.201,True
2404,16,all_of,structural,True,17,True,19,0,19,success,148,0.198,False
2404,16,all_of,frontier,True,17,True,19,0,19,success,148,0.187,False
2404,16,all_of,uncertainty,True,17,True,19,0,19,success,148,0.194,False
2404,16,all_of,task_conditioned,True,17,True,19,0,19,success,148,0.203,False
2404,16,all_of,frontier_t0,True,17,True,19,0,19,success,148,0.184,True
2404,16,all_of,task_conditioned_t0,True,17,True,19,0,19,success,148,0.178,True
2404,17,condition_then,structural,True,10,True,10,0,10,success,148,0.051,False
2404,17,condition_then,frontier,True,10,True,10,0,10,success,148,0.047,False
2404,17,condition_then,uncertainty,True,10,True,10,0,10,success,148,0.047,False
2404,17,condition_then,task_conditioned,True,10,True,10,0,10,success,148,0.046,False
2404,17,condition_then,frontier_t0,True,10,True,10,0,10,success,148,0.054,True
2404,17,condition_then,task_conditioned_t0,True,10,True,10,0,10,success,148,0.04,True
2404,18,sequence,structural,False,,True,169,156,169,success,175,0.448,False
2404,18,sequence,frontier,False,,True,946,946,946,success,220,1.81,False
2404,18,sequence,uncertainty,False,,True,1843,1843,1843,success,209,2.678,False
2404,18,sequence,task_conditioned,False,,True,943,943,943,success,220,1.926,False
2404,18,sequence,frontier_t0,False,,True,301,272,301,success,212,1.057,True
2404,18,sequence,task_conditioned_t0,False,,True,311,282,311,success,213,1.311,True
2404,19,all_of,structural,True,17,True,17,0,17,success,148,0.149,False
2404,19,all_of,frontier,True,17,True,17,0,17,success,148,0.152,False
2404,19,all_of,uncertainty,True,17,True,17,0,17,success,148,0.151,False
2404,19,all_of,task_conditioned,True,17,True,17,0,17,success,148,0.149,False
2404,19,all_of,frontier_t0,True,17,True,17,0,17,success,148,0.155,True
2404,19,all_of,task_conditioned_t0,True,17,True,17,0,17,success,148,0.148,True
2404,20,condition_then,structural,True,4,True,4,0,4,success,148,0.015,False
2404,20,condition_then,frontier,True,4,True,4,0,4,success,148,0.016,False
2404,20,condition_then,uncertainty,True,4,True,4,0,4,success,148,0.03,False
2404,20,condition_then,task_conditioned,True,4,True,4,0,4,success,148,0.02,False
2404,20,condition_then,frontier_t0,True,4,True,4,0,4,success,148,0.015,True
2404,20,condition_then,task_conditioned_t0,True,4,True,4,0,4,success,148,0.019,True
2404,21,sequence,structural,False,,True,68,39,68,success,165,0.211,False
2404,21,sequence,frontier,False,,True,68,39,68,success,165,0.219,False
2404,21,sequence,uncertainty,False,,True,68,39,68,success,165,0.225,False
2404,21,sequence,task_conditioned,False,,True,167,167,167,success,168,0.299,False
2404,21,sequence,frontier_t0,False,,True,68,39,68,success,165,0.223,True
2404,21,sequence,task_conditioned_t0,False,,True,243,226,243,success,207,0.686,True
2404,22,all_of,structural,False,,True,166,145,166,success,190,0.673,False
2404,22,all_of,frontier,False,,True,166,145,166,success,190,0.931,False
2404,22,all_of,uncertainty,False,,True,166,145,166,success,190,1.205,False
2404,22,all_of,task_conditioned,False,,True,192,192,192,success,196,0.658,False
2404,22,all_of,frontier_t0,False,,True,166,145,166,success,190,1.045,True
2404,22,all_of,task_conditioned_t0,False,,True,226,218,226,success,205,2.213,True
2404,23,condition_then,structural,False,,True,244,244,244,success,217,1.091,False
2404,23,condition_then,frontier,False,,True,909,909,909,success,232,4.803,False
2404,23,condition_then,uncertainty,False,,True,1570,1570,1570,success,232,5.4,False
2404,23,condition_then,task_conditioned,False,,True,936,936,936,success,238,2.348,False
2404,23,condition_then,frontier_t0,False,,True,244,244,244,success,217,0.62,True
2404,23,condition_then,task_conditioned_t0,False,,True,365,365,365,success,236,0.788,True
2404,24,sequence,structural,False,,True,333,304,333,success,225,0.945,False
2404,24,sequence,frontier,False,,True,993,984,993,success,239,2.243,False
2404,24,sequence,uncertainty,False,,True,1983,1974,1983,success,239,3.169,False
2404,24,sequence,task_conditioned,False,,True,993,984,993,success,239,2.253,False
2404,24,sequence,frontier_t0,False,,True,333,304,333,success,225,1.204,True
2404,24,sequence,task_conditioned_t0,False,,True,307,278,307,success,222,1.372,True
2404,25,all_of,structural,False,,True,314,304,314,success,225,3.56,False
2404,25,all_of,frontier,False,,True,983,983,983,success,239,5.664,False
2404,25,all_of,uncertainty,False,,True,1973,1973,1973,success,239,7.487,False
