seed,task_id,task_type,policy,starts_in_model,shortest_at_512,success,task_steps,exploration_steps,replans,failure_reason,states_known_at_end,seconds,post_hoc
2505,0,sequence,structural,False,,True,18,4,18,success,140,0.063,False
2505,0,sequence,frontier_t0,False,,True,18,4,18,success,140,0.057,True
2505,0,sequence,task_conditioned_t0,False,,True,18,4,18,success,140,0.057,True
2505,0,sequence,optimistic_linear_rmax,False,,True,18,4,18,success,140,0.061,False
2505,0,sequence,optimistic_linear_shaped,False,,True,18,4,18,success,140,0.054,False
2505,0,sequence,optimistic_linear_goal,False,,True,18,4,18,success,140,0.06,False
2505,0,sequence,optimistic_optimal_rmax,False,,True,18,4,18,success,140,0.062,False
2505,0,sequence,optimistic_optimal_goal,False,,True,18,4,18,success,140,0.052,False
2505,1,all_of,structural,False,,True,21,4,21,success,140,0.088,False
2505,1,all_of,frontier_t0,False,,True,21,4,21,success,140,0.101,True
2505,1,all_of,task_conditioned_t0,False,,True,21,4,21,success,140,0.106,True
2505,1,all_of,optimistic_linear_rmax,False,,True,21,4,21,success,140,0.106,False
2505,1,all_of,optimistic_linear_shaped,False,,True,21,4,21,success,140,0.143,False
2505,1,all_of,optimistic_linear_goal,False,,True,21,4,21,success,140,0.175,False
2505,1,all_of,optimistic_optimal_rmax,False,,True,21,4,21,success,140,0.151,False
2505,1,all_of,optimistic_optimal_goal,False,,True,21,4,21,success,140,0.16,False
2505,2,condition_then,structural,False,,True,128,128,128,success,171,0.185,False
2505,2,condition_then,frontier_t0,False,,True,128,128,128,success,171,0.207,True
2505,2,condition_then,task_conditioned_t0,False,,True,74,74,74,success,157,0.146,True
2505,2,condition_then,optimistic_linear_rmax,False,,True,128,128,128,success,171,0.659,False
2505,2,condition_then,optimistic_linear_shaped,False,,True,128,128,128,success,171,0.657,False
2505,2,condition_then,optimistic_linear_goal,False,,True,128,128,128,success,171,0.683,False
2505,2,condition_then,optimistic_optimal_rmax,False,,True,128,128,128,success,171,0.603,False
2505,2,condition_then,optimistic_optimal_goal,False,,True,18,18,18,success,143,0.044,False
2505,3,sequence,structural,False,,True,187,174,187,success,173,0.346,False
2505,3,sequence,frontier_t0,False,,True,55,42,55,success,144,0.161,True
2505,3,sequence,task_conditioned_t0,False,,True,59,46,59,success,145,0.194,True
2505,3,sequence,optimistic_linear_rmax,False,,True,21,11,21,success,141,0.082,False
2505,3,sequence,optimistic_linear_shaped,False,,True,21,11,21,success,141,0.092,False
2505,3,sequence,optimistic_linear_goal,False,,True,21,11,21,success,141,0.087,False
2505,3,sequence,optimistic_optimal_rmax,False,,True,55,42,55,success,144,0.229,False
2505,3,sequence,optimistic_optimal_goal,False,,True,21,11,21,success,141,0.074,False
2505,4,all_of,structural,False,,True,407,407,407,success,240,1.255,False
2505,4,all_of,frontier_t0,False,,True,418,418,418,success,250,1.896,True
2505,4,all_of,task_conditioned_t0,False,,True,438,438,438,success,251,1.775,True
2505,4,all_of,optimistic_linear_rmax,False,,True,412,412,412,success,250,2.325,False
2505,4,all_of,optimistic_linear_shaped,False,,True,412,412,412,success,250,2.062,False
2505,4,all_of,optimistic_linear_goal,False,,True,389,389,389,success,245,2.391,False
2505,4,all_of,optimistic_optimal_rmax,False,,True,418,418,418,success,250,2.665,False
2505,4,all_of,optimistic_optimal_goal,False,,True,99,99,99,success,164,0.419,False
2505,5,condition_then,structural,True,14,True,14,0,14,success,137,0.068,False
2505,5,condition_then,frontier_t0,True,14,True,14,0,14,success,137,0.068,True
2505,5,condition_then,task_conditioned_t0,True,14,True,14,0,14,success,137,0.076,True
2505,5,condition_then,optimistic_linear_rmax,True,14,True,14,0,14,success,137,0.076,False
2505,5,condition_then,optimistic_linear_shaped,True,14,True,14,0,14,success,137,0.068,False
2505,5,condition_then,optimistic_linear_goal,True,14,True,14,0,14,success,137,0.065,False
2505,5,condition_then,optimistic_optimal_rmax,True,14,True,14,0,14,success,137,0.083,False
2505,5,condition_then,optimistic_optimal_goal,True,14,True,14,0,14,success,137,0.088,False
2505,6,sequence,structural,False,,True,505,483,505,success,265,1.573,False
2505,6,sequence,frontier_t0,False,,True,505,483,505,success,265,1.445,True
2505,6,sequence,task_conditioned_t0,False,,True,505,483,505,success,265,1.379,True
2505,6,sequence,optimistic_linear_rmax,False,,True,505,483,505,success,265,1.785,False
2505,6,sequence,optimistic_linear_shaped,False,,True,505,483,505,success,265,1.898,False
2505,6,sequence,optimistic_linear_goal,False,,True,461,439,461,success,256,2.199,False
2505,6,sequence,optimistic_optimal_rmax,False,,True,505,483,505,success,265,3.92,False
2505,6,sequence,optimistic_optimal_goal,False,,True,377,361,377,success,243,2.459,False
2505,7,all_of,structural,False,,True,565,556,565,success,282,3.044,False
2505,7,all_of,frontier_t0,False,,True,565,556,565,success,282,3.83,True
2505,7,all_of,task_conditioned_t0,False,,True,565,556,565,success,282,5.795,True
2505,7,all_of,optimistic_linear_rmax,False,,True,565,556,565,success,282,7.229,False
2505,7,all_of,optimistic_linear_shaped,False,,True,565,556,565,success,282,5.876,False
2505,7,all_of,optimistic_linear_goal,False,,True,533,524,533,success,276,5.022,False
2505,7,all_of,optimistic_optimal_rmax,False,,True,565,556,565,success,282,7.912,False
2505,7,all_of,optimistic_optimal_goal,False,,True,419,399,419,success,263,5.193,False
2505,8,condition_then,structural,False,,True,27,15,27,success,147,0.11,False
2505,8,condition_then,frontier_t0,False,,True,27,15,27,success,147,0.115,True
2505,8,condition_then,task_conditioned_t0,False,,True,27,15,27,success,147,0.105,True
2505,8,condition_then,optimistic_linear_rmax,False,,True,27,15,27,success,147,0.105,False
2505,8,condition_then,optimistic_linear_shaped,False,,True,27,15,27,success,147,0.107,False
2505,8,condition_then,optimistic_linear_goal,False,,True,27,15,27,success,147,0.072,False
2505,8,condition_then,optimistic_optimal_rmax,False,,True,27,15,27,success,147,0.056,False
2505,8,condition_then,optimistic_optimal_goal,False,,True,27,15,27,success,147,0.064,False
2505,9,sequence,structural,False,,True,374,366,374,success,231,0.664,False
2505,9,sequence,frontier_t0,False,,True,380,372,380,success,234,0.811,True
2505,9,sequence,task_conditioned_t0,False,,True,380,372,380,success,234,1.135,True
2505,9,sequence,optimistic_linear_rmax,False,,True,374,366,374,success,231,2.092,False
2505,9,sequence,optimistic_linear_shaped,False,,True,374,366,374,success,231,1.552,False
2505,9,sequence,optimistic_linear_goal,False,,True,427,419,427,success,246,1.398,False
2505,9,sequence,optimistic_optimal_rmax,False,,True,380,372,380,success,234,1.448,False
2505,9,sequence,optimistic_optimal_goal,False,,True,364,356,364,success,230,1.393,False
2505,10,all_of,structural,False,,True,380,366,380,success,231,1.065,False
