seed,task_id,task_type,policy,starts_in_model,shortest_at_512,success,task_steps,exploration_steps,replans,failure_reason,states_known_at_end,seconds,post_hoc
2404,0,sequence,structural,True,16,True,16,0,16,success,148,0.078,False
2404,0,sequence,frontier_t0,True,16,True,16,0,16,success,148,0.074,True
2404,0,sequence,task_conditioned_t0,True,16,True,16,0,16,success,148,0.077,True
2404,0,sequence,optimistic_linear_rmax,True,16,True,16,0,16,success,148,0.069,False
2404,0,sequence,optimistic_linear_shaped,True,16,True,16,0,16,success,148,0.08,False
2404,0,sequence,optimistic_linear_goal,True,16,True,16,0,16,success,148,0.076,False
2404,0,sequence,optimistic_optimal_rmax,True,16,True,16,0,16,success,148,0.067,False
2404,0,sequence,optimistic_optimal_goal,True,16,True,16,0,16,success,148,0.07,False
2404,1,all_of,structural,True,14,True,14,0,14,success,148,0.079,False
2404,1,all_of,frontier_t0,True,14,True,14,0,14,success,148,0.093,True
2404,1,all_of,task_conditioned_t0,True,14,True,14,0,14,success,148,0.091,True
2404,1,all_of,optimistic_linear_rmax,True,14,True,14,0,14,success,148,0.133,False
2404,1,all_of,optimistic_linear_shaped,True,14,True,14,0,14,success,148,0.13,False
2404,1,all_of,optimistic_linear_goal,True,14,True,14,0,14,success,148,0.13,False
2404,1,all_of,optimistic_optimal_rmax,True,14,True,14,0,14,success,148,0.14,False
2404,1,all_of,optimistic_optimal_goal,True,14,True,14,0,14,success,148,0.156,False
2404,2,condition_then,structural,True,7,True,7,0,7,success,148,0.045,False
2404,2,condition_then,frontier_t0,True,7,True,7,0,7,success,148,0.042,True
2404,2,condition_then,task_conditioned_t0,True,7,True,7,0,7,success,148,0.041,True
2404,2,condition_then,optimistic_linear_rmax,True,7,True,7,0,7,success,148,0.041,False
2404,2,condition_then,optimistic_linear_shaped,True,7,True,7,0,7,success,148,0.04,False
2404,2,condition_then,optimistic_linear_goal,True,7,True,7,0,7,success,148,0.04,False
2404,2,condition_then,optimistic_optimal_rmax,True,7,True,7,0,7,success,148,0.039,False
2404,2,condition_then,optimistic_optimal_goal,True,7,True,7,0,7,success,148,0.04,False
2404,3,sequence,structural,False,,True,606,594,606,success,256,1.807,False
2404,3,sequence,frontier_t0,False,,True,464,452,464,success,253,1.258,True
2404,3,sequence,task_conditioned_t0,False,,True,468,456,468,success,253,1.556,True
2404,3,sequence,optimistic_linear_rmax,False,,True,498,487,498,success,261,3.97,False
2404,3,sequence,optimistic_linear_shaped,False,,True,498,487,498,success,261,2.75,False
2404,3,sequence,optimistic_linear_goal,False,,True,498,487,498,success,261,2.445,False
2404,3,sequence,optimistic_optimal_rmax,False,,True,464,452,464,success,253,2.648,False
2404,3,sequence,optimistic_optimal_goal,False,,True,160,148,160,success,191,0.731,False
2404,4,all_of,structural,False,,True,589,589,589,success,253,1.444,False
2404,4,all_of,frontier_t0,False,,True,447,447,447,success,250,1.096,True
2404,4,all_of,task_conditioned_t0,False,,True,451,451,451,success,250,1.956,True
2404,4,all_of,optimistic_linear_rmax,False,,True,486,486,486,success,261,2.36,False
2404,4,all_of,optimistic_linear_shaped,False,,True,486,486,486,success,261,1.874,False
2404,4,all_of,optimistic_linear_goal,False,,True,486,486,486,success,261,2.477,False
2404,4,all_of,optimistic_optimal_rmax,False,,True,447,447,447,success,250,2.437,False
2404,4,all_of,optimistic_optimal_goal,False,,True,192,192,192,success,204,1.018,False
2404,5,condition_then,structural,False,,True,10,1,10,success,149,0.06,False
2404,5,condition_then,frontier_t0,False,,True,10,1,10,success,149,0.062,True
2404,5,condition_then,task_conditioned_t0,False,,True,10,1,10,success,149,0.063,True
2404,5,condition_then,optimistic_linear_rmax,False,,True,10,1,10,success,149,0.068,False
2404,5,condition_then,optimistic_linear_shaped,False,,True,10,1,10,success,149,0.069,False
2404,5,condition_then,optimistic_linear_goal,False,,True,10,1,10,success,149,0.072,False
2404,5,condition_then,optimistic_optimal_rmax,False,,True,10,1,10,success,149,0.068,False
2404,5,condition_then,optimistic_optimal_goal,False,,True,10,1,10,success,149,0.077,False
2404,6,sequence,structural,False,,True,198,198,198,success,199,0.408,False
2404,6,sequence,frontier_t0,False,,True,272,256,272,success,211,0.987,True
2404,6,sequence,task_conditioned_t0,False,,True,272,256,272,success,211,1.294,True
2404,6,sequence,optimistic_linear_rmax,False,,True,237,226,237,success,206,1.173,False
2404,6,sequence,optimistic_linear_shaped,False,,True,237,226,237,success,206,1.073,False
2404,6,sequence,optimistic_linear_goal,False,,True,89,78,89,success,177,0.324,False
2404,6,sequence,optimistic_optimal_rmax,False,,True,272,256,272,success,211,1.551,False
2404,6,sequence,optimistic_optimal_goal,False,,True,90,90,90,success,169,0.529,False
2404,7,all_of,structural,False,,True,268,268,268,success,219,0.699,False
2404,7,all_of,frontier_t0,False,,True,255,255,255,success,211,0.728,True
2404,7,all_of,task_conditioned_t0,False,,True,255,255,255,success,211,0.886,True
2404,7,all_of,optimistic_linear_rmax,False,,True,340,340,340,success,229,3.127,False
2404,7,all_of,optimistic_linear_shaped,False,,True,340,340,340,success,229,2.938,False
2404,7,all_of,optimistic_linear_goal,False,,True,214,214,214,success,208,1.432,False
2404,7,all_of,optimistic_optimal_rmax,False,,True,255,255,255,success,211,1.604,False
2404,7,all_of,optimistic_optimal_goal,False,,True,188,188,188,success,205,1.158,False
2404,8,condition_then,structural,False,,True,140,140,140,success,183,0.247,False
2404,8,condition_then,frontier_t0,False,,True,447,447,447,success,250,1.152,True
2404,8,condition_then,task_conditioned_t0,False,,True,447,447,447,success,250,1.329,True
2404,8,condition_then,optimistic_linear_rmax,False,,True,483,483,483,success,261,2.261,False
2404,8,condition_then,optimistic_linear_shaped,False,,True,483,483,483,success,261,2.175,False
2404,8,condition_then,optimistic_linear_goal,False,,True,451,451,451,success,250,2.178,False
2404,8,condition_then,optimistic_optimal_rmax,False,,True,447,447,447,success,250,2.368,False
2404,8,condition_then,optimistic_optimal_goal,False,,True,146,146,146,success,192,0.42,False
2404,9,sequence,structural,False,,True,34,13,34,success,157,0.115,False
2404,9,sequence,frontier_t0,False,,True,34,13,34,success,157,0.118,True
2404,9,sequence,task_conditioned_t0,False,,True,34,13,34,success,157,0.12,True
2404,9,sequence,optimistic_linear_rmax,False,,True,34,13,34,success,157,0.106,False
2404,9,sequence,optimistic_linear_shaped,False,,True,34,13,34,success,157,0.104,False
2404,9,sequence,optimistic_linear_goal,False,,True,34,13,34,success,157,0.107,False
2404,9,sequence,optimistic_optimal_rmax,False,,True,34,13,34,success,157,0.102,False
2404,9,sequence,optimistic_optimal_goal,False,,True,34,13,34,success,157,0.104,False
2404,10,all_of,structural,False,,True,28,13,28,success,157,0.101,False
2404,10,all_of,frontier_t0,False,,True,28,13,28,success,157,0.1,True
2404,10,all_of,task_conditioned_t0,False,,True,28,13,28,success,157,0.102,True
2404,10,all_of,optimistic_linear_rmax,False,,True,28,13,28,success,157,0.115,False
2404,10,all_of,optimistic_linear_shaped,False,,True,28,13,28,success,157,0.099,False
2404,10,all_of,optimistic_linear_goal,False,,True,28,13,28,success,157,0.105,False
2404,10,all_of,optimistic_optimal_rmax,False,,True,28,13,28,success,157,0.109,False
2404,10,all_of,optimistic_optimal_goal,False,,True,28,13,28,success,157,0.114,False
2404,11,condition_then,structural,False,,True,194,194,194,success,203,0.165,False
2404,11,condition_then,frontier_t0,False,,True,461,461,461,success,244,1.092,True
2404,11,condition_then,task_conditioned_t0,False,,True,271,271,271,success,217,0.952,True
2404,11,condition_then,optimistic_linear_rmax,False,,True,194,194,194,success,203,0.795,False
2404,11,condition_then,optimistic_linear_shaped,False,,True,194,194,194,success,203,0.769,False
2404,11,condition_then,optimistic_linear_goal,False,,True,194,194,194,success,203,0.758,False
2404,11,condition_then,optimistic_optimal_rmax,False,,True,461,461,461,success,244,1.939,False
