slip,seed,task_id,task_type,planner,replicate,success,steps,exploration_steps,states_added,model_changes,builds,failure_reason,seconds
0.05,2101,0,sequence,linear,1,True,24,0,0,0,1,success,0.012
0.05,2101,0,sequence,shortest,1,True,24,0,0,0,1,success,0.007
0.05,2101,0,sequence,linear,2,True,21,0,0,0,1,success,0.012
0.05,2101,0,sequence,shortest,2,True,21,0,0,0,1,success,0.007
0.05,2101,0,sequence,linear,3,True,20,0,0,0,1,success,0.011
0.05,2101,0,sequence,shortest,3,True,20,0,0,0,1,success,0.007
0.05,2101,1,all_of,linear,1,True,11,0,0,0,1,success,0.027
0.05,2101,1,all_of,shortest,1,True,11,0,0,0,1,success,0.018
0.05,2101,1,all_of,linear,2,True,13,0,0,1,2,success,0.031
0.05,2101,1,all_of,shortest,2,True,13,0,0,1,2,success,0.032
0.05,2101,1,all_of,linear,3,True,15,0,0,0,1,success,0.026
0.05,2101,1,all_of,shortest,3,True,16,0,0,0,1,success,0.024
0.05,2101,2,condition_then,linear,1,True,6,0,0,0,1,success,0.012
0.05,2101,2,condition_then,shortest,1,True,6,0,0,0,1,success,0.005
0.05,2101,2,condition_then,linear,2,True,6,0,0,0,1,success,0.012
0.05,2101,2,condition_then,shortest,2,True,6,0,0,0,1,success,0.006
0.05,2101,2,condition_then,linear,3,True,8,0,0,0,1,success,0.008
0.05,2101,2,condition_then,shortest,3,True,8,0,0,0,1,success,0.005
0.05,2101,3,sequence,linear,1,True,28,0,0,0,1,success,0.016
0.05,2101,3,sequence,shortest,1,True,28,0,0,0,1,success,0.009
0.05,2101,3,sequence,linear,2,True,24,0,0,0,1,success,0.014
0.05,2101,3,sequence,shortest,2,True,26,0,0,0,1,success,0.008
0.05,2101,3,sequence,linear,3,True,23,0,0,0,1,success,0.015
0.05,2101,3,sequence,shortest,3,True,24,0,0,0,1,success,0.008
0.05,2101,4,all_of,linear,1,True,17,0,0,0,1,success,0.028
0.05,2101,4,all_of,shortest,1,True,17,0,0,0,1,success,0.018
0.05,2101,4,all_of,linear,2,True,17,0,0,0,1,success,0.026
0.05,2101,4,all_of,shortest,2,True,17,0,0,0,1,success,0.021
0.05,2101,4,all_of,linear,3,True,20,0,0,0,1,success,0.03
0.05,2101,4,all_of,shortest,3,True,20,0,0,0,1,success,0.019
0.05,2101,5,condition_then,linear,1,True,9,0,0,0,1,success,0.008
0.05,2101,5,condition_then,shortest,1,True,9,0,0,0,1,success,0.007
0.05,2101,5,condition_then,linear,2,True,9,0,0,0,1,success,0.008
0.05,2101,5,condition_then,shortest,2,True,9,0,0,0,1,success,0.005
0.05,2101,5,condition_then,linear,3,True,9,0,0,0,1,success,0.008
0.05,2101,5,condition_then,shortest,3,True,9,0,0,0,1,success,0.004
0.05,2101,6,sequence,linear,1,True,14,0,0,0,1,success,0.014
0.05,2101,6,sequence,shortest,1,True,14,0,0,0,1,success,0.009
0.05,2101,6,sequence,linear,2,True,19,0,0,0,1,success,0.013
0.05,2101,6,sequence,shortest,2,True,19,0,0,0,1,success,0.008
0.05,2101,6,sequence,linear,3,True,14,0,0,0,1,success,0.013
0.05,2101,6,sequence,shortest,3,True,14,0,0,0,1,success,0.008
0.05,2101,7,all_of,linear,1,True,12,0,0,1,2,success,0.035
0.05,2101,7,all_of,shortest,1,True,14,0,0,1,2,success,0.024
0.05,2101,7,all_of,linear,2,True,12,0,0,1,2,success,0.035
0.05,2101,7,all_of,shortest,2,True,12,0,0,1,2,success,0.024
0.05,2101,7,all_of,linear,3,True,12,0,0,1,2,success,0.035
0.05,2101,7,all_of,shortest,3,True,12,0,0,1,2,success,0.024
0.05,2101,8,condition_then,linear,1,True,5,0,0,0,1,success,0.008
0.05,2101,8,condition_then,shortest,1,True,5,0,0,0,1,success,0.005
0.05,2101,8,condition_then,linear,2,True,3,0,0,0,1,success,0.008
0.05,2101,8,condition_then,shortest,2,True,3,0,0,0,1,success,0.005
0.05,2101,8,condition_then,linear,3,True,3,0,0,0,1,success,0.009
0.05,2101,8,condition_then,shortest,3,True,3,0,0,0,1,success,0.005
0.05,2101,9,sequence,linear,1,True,21,0,0,0,1,success,0.014
0.05,2101,9,sequence,shortest,1,True,21,0,0,0,1,success,0.009
0.05,2101,9,sequence,linear,2,True,21,0,0,1,2,success,0.026
0.05,2101,9,sequence,shortest,2,True,25,0,0,1,2,success,0.026
0.05,2101,9,sequence,linear,3,True,29,0,0,2,3,success,0.041
0.05,2101,9,sequence,shortest,3,True,30,0,0,2,3,success,0.025
0.05,2101,10,all_of,linear,1,True,19,0,0,0,1,success,0.027
0.05,2101,10,all_of,shortest,1,True,19,0,0,0,1,success,0.019
0.05,2101,10,all_of,linear,2,True,19,0,0,0,1,success,0.028
0.05,2101,10,all_of,shortest,2,True,19,0,0,0,1,success,0.021
0.05,2101,10,all_of,linear,3,True,20,0,0,0,1,success,0.029
0.05,2101,10,all_of,shortest,3,True,20,0,0,0,1,success,0.02
