seed,order,policy,position,task_id,task_type,had_path_at_start,success,steps,exploration_steps,states_added,states_known
2101,0,structural,0,36,branch,True,True,9,0,0,128
2101,0,structural,1,20,condition_then,True,True,9,0,0,128
2101,0,structural,2,18,sequence,False,False,4096,4096,34,162
2101,0,structural,3,0,sequence,True,True,20,0,0,162
2101,0,structural,4,21,sequence,True,True,22,0,0,162
2101,0,structural,5,19,all_of,False,True,2031,2031,5,167
2101,0,structural,6,15,sequence,True,True,18,0,0,167
2101,0,structural,7,41,branch,True,True,8,0,0,167
2101,0,structural,8,17,condition_then,True,True,10,0,0,167
2101,0,structural,9,28,all_of,True,True,18,0,0,167
2101,0,structural,10,32,condition_then,True,True,13,0,0,167
2101,0,structural,11,11,condition_then,True,True,12,0,0,167
2101,0,structural,12,9,sequence,False,False,4096,4096,2,169
2101,0,structural,13,26,condition_then,True,True,14,0,0,169
2101,0,structural,14,25,all_of,True,True,15,0,0,169
2101,0,structural,15,29,condition_then,True,True,8,0,0,169
2101,0,structural,16,6,sequence,True,True,14,0,0,169
2101,0,structural,17,1,all_of,True,True,11,0,0,169
2101,0,structural,18,38,branch,True,True,8,0,0,169
2101,0,structural,19,16,all_of,True,True,15,0,0,169
2101,0,structural,20,30,sequence,True,True,21,0,0,169
2101,0,structural,21,42,branch,True,True,10,0,0,169
2101,0,structural,22,8,condition_then,True,True,3,0,0,169
2101,0,structural,23,27,sequence,False,False,4096,4096,0,169
2101,0,structural,24,45,branch,True,True,9,0,0,169
2101,0,structural,25,43,branch,True,True,11,0,0,169
2101,0,structural,26,3,sequence,True,True,22,0,0,169
2101,0,structural,27,10,all_of,False,True,1197,1191,2,171
2101,0,structural,28,34,all_of,True,True,16,0,0,171
2101,0,structural,29,40,branch,True,True,8,0,0,171
2101,0,structural,30,35,condition_then,True,True,14,0,0,171
2101,0,structural,31,39,branch,True,True,9,0,0,171
2101,0,structural,32,7,all_of,True,True,10,0,0,171
2101,0,structural,33,44,branch,True,True,9,0,0,171
2101,0,structural,34,24,sequence,True,True,21,0,0,171
2101,0,structural,35,22,all_of,True,True,19,0,0,171
2101,0,structural,36,13,all_of,True,True,13,0,0,171
2101,0,structural,37,14,condition_then,True,True,5,0,0,171
2101,0,structural,38,33,sequence,True,True,24,0,0,171
2101,0,structural,39,12,sequence,True,True,20,0,0,171
2101,0,structural,40,5,condition_then,True,True,9,0,0,171
2101,0,structural,41,23,condition_then,True,True,8,0,0,171
2101,0,structural,42,31,all_of,True,True,17,0,0,171
2101,0,structural,43,4,all_of,True,True,17,0,0,171
2101,0,structural,44,37,branch,True,True,10,0,0,171
2101,0,structural,45,2,condition_then,True,True,6,0,0,171
2101,0,frontier_t0,0,36,branch,True,True,9,0,0,128
2101,0,frontier_t0,1,20,condition_then,True,True,9,0,0,128
2101,0,frontier_t0,2,18,sequence,False,True,618,604,42,170
2101,0,frontier_t0,3,0,sequence,True,True,20,0,0,170
2101,0,frontier_t0,4,21,sequence,True,True,22,0,0,170
2101,0,frontier_t0,5,19,all_of,True,True,23,0,0,170
2101,0,frontier_t0,6,15,sequence,True,True,18,0,0,170
2101,0,frontier_t0,7,41,branch,True,True,8,0,0,170
2101,0,frontier_t0,8,17,condition_then,True,True,10,0,0,170
2101,0,frontier_t0,9,28,all_of,True,True,18,0,0,170
2101,0,frontier_t0,10,32,condition_then,True,True,11,0,0,170
2101,0,frontier_t0,11,11,condition_then,True,True,12,0,0,170
2101,0,frontier_t0,12,9,sequence,True,True,21,0,0,170
2101,0,frontier_t0,13,26,condition_then,True,True,14,0,0,170
2101,0,frontier_t0,14,25,all_of,True,True,18,0,0,170
2101,0,frontier_t0,15,29,condition_then,True,True,8,0,0,170
2101,0,frontier_t0,16,6,sequence,True,True,14,0,0,170
2101,0,frontier_t0,17,1,all_of,True,True,11,0,0,170
2101,0,frontier_t0,18,38,branch,True,True,8,0,0,170
2101,0,frontier_t0,19,16,all_of,True,True,17,0,0,170
2101,0,frontier_t0,20,30,sequence,True,True,23,0,0,170
2101,0,frontier_t0,21,42,branch,True,True,10,0,0,170
2101,0,frontier_t0,22,8,condition_then,True,True,3,0,0,170
2101,0,frontier_t0,23,27,sequence,True,True,25,0,0,170
2101,0,frontier_t0,24,45,branch,True,True,9,0,0,170
2101,0,frontier_t0,25,43,branch,True,True,11,0,0,170
2101,0,frontier_t0,26,3,sequence,True,True,22,0,0,170
2101,0,frontier_t0,27,10,all_of,True,True,19,0,0,170
2101,0,frontier_t0,28,34,all_of,True,True,16,0,0,170
2101,0,frontier_t0,29,40,branch,True,True,8,0,0,170
2101,0,frontier_t0,30,35,condition_then,True,True,14,0,0,170
2101,0,frontier_t0,31,39,branch,True,True,9,0,0,170
2101,0,frontier_t0,32,7,all_of,True,True,10,0,0,170
2101,0,frontier_t0,33,44,branch,True,True,11,0,0,170
