seed,order,policy,position,task_id,task_type,had_path_at_start,success,steps,exploration_steps,states_added,states_known
2202,0,structural,0,8,condition_then,False,True,4,1,1,84
2202,0,structural,1,10,all_of,False,True,353,353,10,94
2202,0,structural,2,41,branch,True,True,9,0,0,94
2202,0,structural,3,45,branch,True,True,9,0,0,94
2202,0,structural,4,38,branch,False,False,4096,4096,32,126
2202,0,structural,5,31,all_of,True,True,12,0,0,126
2202,0,structural,6,40,branch,True,True,10,0,0,126
2202,0,structural,7,21,sequence,True,True,17,0,0,126
2202,0,structural,8,30,sequence,True,True,17,0,0,126
2202,0,structural,9,35,condition_then,True,True,7,0,0,126
2202,0,structural,10,33,sequence,True,True,21,0,0,126
2202,0,structural,11,5,condition_then,True,True,13,0,0,126
2202,0,structural,12,12,sequence,True,True,15,0,0,126
2202,0,structural,13,36,branch,True,True,8,0,0,126
2202,0,structural,14,32,condition_then,True,True,8,0,0,126
2202,0,structural,15,39,branch,True,True,7,0,0,126
2202,0,structural,16,3,sequence,True,True,22,0,0,126
2202,0,structural,17,22,all_of,True,True,16,0,0,126
2202,0,structural,18,1,all_of,False,True,9,1,1,127
2202,0,structural,19,34,all_of,True,True,20,0,0,127
2202,0,structural,20,13,all_of,True,True,15,0,0,127
2202,0,structural,21,11,condition_then,True,True,14,0,0,127
2202,0,structural,22,24,sequence,True,True,16,0,0,127
2202,0,structural,23,43,branch,True,True,9,0,0,127
2202,0,structural,24,0,sequence,True,True,18,0,0,127
2202,0,structural,25,28,all_of,True,True,10,0,0,127
2202,0,structural,26,23,condition_then,False,True,830,830,3,130
2202,0,structural,27,37,branch,True,True,8,0,0,130
2202,0,structural,28,6,sequence,True,True,16,0,0,130
2202,0,structural,29,27,sequence,True,True,15,0,0,130
2202,0,structural,30,9,sequence,True,True,26,0,0,130
2202,0,structural,31,14,condition_then,True,True,10,0,0,130
2202,0,structural,32,26,condition_then,True,True,11,0,0,130
2202,0,structural,33,42,branch,True,True,8,0,0,130
2202,0,structural,34,17,condition_then,True,True,8,0,0,130
2202,0,structural,35,25,all_of,True,True,11,0,0,130
2202,0,structural,36,7,all_of,True,True,15,0,0,130
2202,0,structural,37,4,all_of,True,True,17,0,0,130
2202,0,structural,38,18,sequence,False,True,499,492,2,132
2202,0,structural,39,44,branch,True,True,8,0,0,132
2202,0,structural,40,29,condition_then,False,True,3976,3976,6,138
2202,0,structural,41,2,condition_then,True,True,6,0,0,138
2202,0,structural,42,16,all_of,True,True,8,0,0,138
2202,0,structural,43,19,all_of,True,True,12,0,0,138
2202,0,structural,44,15,sequence,True,True,16,0,0,138
2202,0,structural,45,20,condition_then,True,True,4,0,0,138
2202,0,frontier_t0,0,8,condition_then,False,True,4,1,1,84
2202,0,frontier_t0,1,10,all_of,False,True,139,138,15,99
2202,0,frontier_t0,2,41,branch,True,True,9,0,0,99
2202,0,frontier_t0,3,45,branch,True,True,9,0,0,99
2202,0,frontier_t0,4,38,branch,False,True,132,132,13,112
2202,0,frontier_t0,5,31,all_of,False,True,12,1,1,113
2202,0,frontier_t0,6,40,branch,True,True,10,0,0,113
2202,0,frontier_t0,7,21,sequence,False,True,497,492,42,155
2202,0,frontier_t0,8,30,sequence,True,True,16,0,0,155
2202,0,frontier_t0,9,35,condition_then,True,True,7,0,0,155
2202,0,frontier_t0,10,33,sequence,True,True,20,0,0,155
2202,0,frontier_t0,11,5,condition_then,True,True,13,0,0,155
2202,0,frontier_t0,12,12,sequence,True,True,15,0,0,155
2202,0,frontier_t0,13,36,branch,True,True,8,0,0,155
2202,0,frontier_t0,14,32,condition_then,True,True,8,0,0,155
2202,0,frontier_t0,15,39,branch,True,True,7,0,0,155
2202,0,frontier_t0,16,3,sequence,True,True,20,0,0,155
2202,0,frontier_t0,17,22,all_of,True,True,14,0,0,155
2202,0,frontier_t0,18,1,all_of,True,True,9,0,0,155
2202,0,frontier_t0,19,34,all_of,True,True,19,0,0,155
2202,0,frontier_t0,20,13,all_of,True,True,15,0,0,155
2202,0,frontier_t0,21,11,condition_then,True,True,14,0,0,155
2202,0,frontier_t0,22,24,sequence,True,True,16,0,0,155
2202,0,frontier_t0,23,43,branch,True,True,9,0,0,155
2202,0,frontier_t0,24,0,sequence,True,True,16,0,0,155
2202,0,frontier_t0,25,28,all_of,True,True,10,0,0,155
2202,0,frontier_t0,26,23,condition_then,True,True,7,0,0,155
2202,0,frontier_t0,27,37,branch,True,True,8,0,0,155
2202,0,frontier_t0,28,6,sequence,True,True,16,0,0,155
2202,0,frontier_t0,29,27,sequence,True,True,15,0,0,155
2202,0,frontier_t0,30,9,sequence,True,True,22,0,0,155
2202,0,frontier_t0,31,14,condition_then,True,True,10,0,0,155
2202,0,frontier_t0,32,26,condition_then,True,True,11,0,0,155
2202,0,frontier_t0,33,42,branch,True,True,8,0,0,155
2202,0,frontier_t0,34,17,condition_then,True,True,8,0,0,155
2202,0,frontier_t0,35,25,all_of,True,True,11,0,0,155
2202,0,frontier_t0,36,7,all_of,True,True,14,0,0,155
2202,0,frontier_t0,37,4,all_of,True,True,17,0,0,155
2202,0,frontier_t0,38,18,sequence,True,True,23,0,0,155
2202,0,frontier_t0,39,44,branch,True,True,8,0,0,155
2202,0,frontier_t0,40,29,condition_then,True,True,13,0,0,155
2202,0,frontier_t0,41,2,condition_then,True,True,6,0,0,155
2202,0,frontier_t0,42,16,all_of,True,True,8,0,0,155
2202,0,frontier_t0,43,19,all_of,True,True,12,0,0,155
2202,0,frontier_t0,44,15,sequence,True,True,16,0,0,155
2202,0,frontier_t0,45,20,condition_then,True,True,4,0,0,155
2202,0,optimistic_optimal_goal,0,8,condition_then,False,True,4,1,1,84
2202,0,optimistic_optimal_goal,1,10,all_of,False,True,44,43,6,90
2202,0,optimistic_optimal_goal,2,41,branch,True,True,9,0,0,90
2202,0,optimistic_optimal_goal,3,45,branch,True,True,9,0,0,90
2202,0,optimistic_optimal_goal,4,38,branch,False,True,186,186,23,113
2202,0,optimistic_optimal_goal,5,31,all_of,False,True,12,1,1,114
2202,0,optimistic_optimal_goal,6,40,branch,True,True,11,0,0,114
2202,0,optimistic_optimal_goal,7,21,sequence,False,True,115,110,12,126
2202,0,optimistic_optimal_goal,8,30,sequence,True,True,16,0,0,126
2202,0,optimistic_optimal_goal,9,35,condition_then,True,True,7,0,0,126
2202,0,optimistic_optimal_goal,10,33,sequence,True,True,21,0,0,126
2202,0,optimistic_optimal_goal,11,5,condition_then,True,True,13,0,0,126
2202,0,optimistic_optimal_goal,12,12,sequence,True,True,15,0,0,126
2202,0,optimistic_optimal_goal,13,36,branch,True,True,8,0,0,126
2202,0,optimistic_optimal_goal,14,32,condition_then,True,True,8,0,0,126
2202,0,optimistic_optimal_goal,15,39,branch,True,True,7,0,0,126
2202,0,optimistic_optimal_goal,16,3,sequence,True,True,23,0,0,126
2202,0,optimistic_optimal_goal,17,22,all_of,True,True,19,0,0,126
2202,0,optimistic_optimal_goal,18,1,all_of,False,True,11,1,1,127
2202,0,optimistic_optimal_goal,19,34,all_of,True,True,20,0,0,127
2202,0,optimistic_optimal_goal,20,13,all_of,True,True,15,0,0,127
2202,0,optimistic_optimal_goal,21,11,condition_then,True,True,14,0,0,127
2202,0,optimistic_optimal_goal,22,24,sequence,True,True,20,0,0,127
2202,0,optimistic_optimal_goal,23,43,branch,True,True,9,0,0,127
2202,0,optimistic_optimal_goal,24,0,sequence,False,True,66,66,6,133
2202,0,optimistic_optimal_goal,25,28,all_of,True,True,10,0,0,133
2202,0,optimistic_optimal_goal,26,23,condition_then,True,True,9,0,0,133
2202,0,optimistic_optimal_goal,27,37,branch,True,True,13,0,0,133
2202,0,optimistic_optimal_goal,28,6,sequence,True,True,16,0,0,133
2202,0,optimistic_optimal_goal,29,27,sequence,True,True,15,0,0,133
2202,0,optimistic_optimal_goal,30,9,sequence,False,True,77,77,2,135
2202,0,optimistic_optimal_goal,31,14,condition_then,True,True,10,0,0,135
2202,0,optimistic_optimal_goal,32,26,condition_then,True,True,11,0,0,135
2202,0,optimistic_optimal_goal,33,42,branch,True,True,10,0,0,135
2202,0,optimistic_optimal_goal,34,17,condition_then,True,True,8,0,0,135
2202,0,optimistic_optimal_goal,35,25,all_of,True,True,11,0,0,135
2202,0,optimistic_optimal_goal,36,7,all_of,True,True,14,0,0,135
2202,0,optimistic_optimal_goal,37,4,all_of,True,True,17,0,0,135
2202,0,optimistic_optimal_goal,38,18,sequence,True,True,23,0,0,135
2202,0,optimistic_optimal_goal,39,44,branch,True,True,8,0,0,135
2202,0,optimistic_optimal_goal,40,29,condition_then,True,True,13,0,0,135
2202,0,optimistic_optimal_goal,41,2,condition_then,True,True,6,0,0,135
2202,0,optimistic_optimal_goal,42,16,all_of,True,True,12,0,0,135
2202,0,optimistic_optimal_goal,43,19,all_of,True,True,18,0,0,135
2202,0,optimistic_optimal_goal,44,15,sequence,True,True,16,0,0,135
2202,0,optimistic_optimal_goal,45,20,condition_then,True,True,4,0,0,135
2202,0,optimistic_linear_rmax,0,8,condition_then,False,True,4,1,1,84
2202,0,optimistic_linear_rmax,1,10,all_of,False,True,121,120,13,97
2202,0,optimistic_linear_rmax,2,41,branch,True,True,8,0,0,97
2202,0,optimistic_linear_rmax,3,45,branch,True,True,9,0,0,97
2202,0,optimistic_linear_rmax,4,38,branch,False,True,78,78,7,104
2202,0,optimistic_linear_rmax,5,31,all_of,False,True,12,1,1,105
2202,0,optimistic_linear_rmax,6,40,branch,True,True,10,0,0,105
2202,0,optimistic_linear_rmax,7,21,sequence,False,True,28,10,1,106
