seed,task_id,task_type,n,condition,true_memory,memory_states,equivalent,registered_success,held_out,held_out_success,held_out_optimal,mean_step_ratio,rounds,sample_traces,seconds
2101,0,sequence,2,goal_set,4,2,False,False,16,0,0,,,2,0.011
2101,0,sequence,2,rpni_random,4,2,False,False,16,0,0,,,4,0.013
2101,0,sequence,2,rpni_near_miss,4,3,False,False,16,0,0,,,6,0.049
2101,0,sequence,2,rpni_counterexample,4,4,False,False,16,0,0,,17,20,0.139
2101,0,sequence,4,goal_set,4,2,False,False,16,0,0,,,4,0.011
2101,0,sequence,4,rpni_random,4,2,False,False,16,0,0,,,8,0.018
2101,0,sequence,4,rpni_near_miss,4,3,False,False,16,0,0,,,12,0.059
2101,0,sequence,4,rpni_counterexample,4,5,False,False,16,0,0,,17,24,0.185
2101,0,sequence,8,goal_set,4,2,False,False,16,0,0,,,8,0.011
2101,0,sequence,8,rpni_random,4,2,False,False,16,0,0,,,16,0.034
2101,0,sequence,8,rpni_near_miss,4,4,False,False,16,0,0,,,24,0.034
2101,0,sequence,8,rpni_counterexample,4,5,False,False,16,0,0,,17,32,0.28
2101,0,sequence,16,goal_set,4,2,False,False,16,0,0,,,16,0.011
2101,0,sequence,16,rpni_random,4,2,False,False,16,0,0,,,32,0.035
2101,0,sequence,16,rpni_near_miss,4,4,False,False,16,0,0,,,48,0.049
2101,0,sequence,16,rpni_counterexample,4,5,False,False,16,0,0,,17,48,0.467
2101,1,all_of,2,goal_set,8,2,False,False,16,0,0,,,2,0.007
2101,1,all_of,2,rpni_random,8,2,False,False,16,0,0,,,4,0.01
2101,1,all_of,2,rpni_near_miss,8,3,False,False,16,0,0,,,6,0.034
2101,1,all_of,2,rpni_counterexample,8,4,False,True,16,16,11,1.0474,6,10,0.077
2101,1,all_of,4,goal_set,8,2,False,False,16,0,0,,,4,0.007
2101,1,all_of,4,rpni_random,8,3,False,False,16,0,0,,,8,0.013
2101,1,all_of,4,rpni_near_miss,8,3,False,False,16,0,0,,,12,0.033
2101,1,all_of,4,rpni_counterexample,8,4,False,True,16,4,4,1.0,13,21,0.182
2101,1,all_of,8,goal_set,8,2,False,False,16,0,0,,,8,0.009
2101,1,all_of,8,rpni_random,8,3,False,False,16,0,0,,,16,0.018
2101,1,all_of,8,rpni_near_miss,8,3,False,False,16,0,0,,,24,0.031
2101,1,all_of,8,rpni_counterexample,8,4,False,True,16,3,3,1.0,15,31,0.246
2101,1,all_of,16,goal_set,8,2,False,False,16,0,0,,,16,0.006
2101,1,all_of,16,rpni_random,8,3,False,False,16,0,0,,,32,0.04
2101,1,all_of,16,rpni_near_miss,8,4,False,False,16,0,0,,,48,0.039
2101,1,all_of,16,rpni_counterexample,8,5,False,False,16,0,0,,17,48,0.388
2101,2,condition_then,2,goal_set,3,2,False,False,16,8,8,1.0,,2,0.007
2101,2,condition_then,2,rpni_random,3,2,False,False,16,8,8,1.0,,4,0.011
2101,2,condition_then,2,rpni_near_miss,3,2,False,False,16,8,8,1.0,,6,0.012
2101,2,condition_then,2,rpni_counterexample,3,3,False,True,16,16,7,1.2093,2,6,0.027
2101,2,condition_then,4,goal_set,3,2,False,False,16,8,8,1.0,,4,0.008
2101,2,condition_then,4,rpni_random,3,2,False,False,16,8,8,1.0,,8,0.011
2101,2,condition_then,4,rpni_near_miss,3,3,False,False,16,8,8,1.0,,12,0.015
2101,2,condition_then,4,rpni_counterexample,3,3,False,True,16,16,16,1.0,3,11,0.034
2101,2,condition_then,8,goal_set,3,2,False,False,16,8,8,1.0,,8,0.009
2101,2,condition_then,8,rpni_random,3,3,False,False,16,12,12,1.0,,16,0.02
