capped_steps,constant_source_roundoff_corrections,cpu_seconds,exploration_decisions,exploration_steps,failure_reason,field_changed_decisions,field_solve_seconds,final_memory,final_memory_accepting,generic_counterfactual_action_switches,has_changed_decision,max_field_residual,policy,process_peak_rss_bytes_so_far,real_product_nodes_max,replans,sampled_peak_rss_bytes,seed,states_known_at_end,success,task_id,task_signal_available_decisions,task_steps,task_type,virtual_field_decisions,virtual_nodes_max,virtual_nodes_mean,virtual_nodes_total,wall_seconds
36,0,0.048897458999999976,11,11,success,0,0,3,True,0,False,0,structural,62967808,0,36,63094784,73000000,44,True,0,0,36,sequence,0,0,0.0,0,0.04893832899999495
36,0,0.049137206000000044,11,11,success,0,0,3,True,0,False,0,frontier_t0,62967808,0,36,63115264,73000000,44,True,0,0,36,sequence,0,0,0.0,0,0.04914095899999893
36,0,0.05511387900000003,11,11,success,0,0.002995355999992455,3,True,7,False,3.3306690738754696e-16,virtual_frontier,63229952,75,36,63320064,73000000,44,True,0,1,36,sequence,11,57,10.454545454545455,115,0.05513994100000019
36,0,0.05454084900000006,11,11,success,0,0.00285042999998808,3,True,7,False,3.3306690738754696e-16,task_virtual_frontier,63229952,75,36,63361024,73000000,44,True,0,1,36,sequence,11,57,10.454545454545455,115,0.05456053500000024
147,0,0.17325963599999994,147,147,success,0,0,7,True,0,False,0,structural,63361024,0,147,63463424,73000000,59,True,1,0,147,all_of,0,0,0.0,0,0.17328129599999897
112,0,0.14230094199999999,99,99,success,0,0,7,True,0,False,0,frontier_t0,63361024,0,112,63512576,73000000,56,True,1,0,112,all_of,0,0,0.0,0,0.14231534299999993
113,0,0.29338237599999994,100,100,success,0,0.03806874499997548,7,True,82,False,6.661338147750939e-16,virtual_frontier,63492096,111,113,63660032,73000000,57,True,1,72,113,all_of,100,143,77.43,7743,0.29338201300000577
113,0,0.29275334100000006,100,100,success,0,0.03776432299999044,7,True,82,False,6.661338147750939e-16,task_virtual_frontier,63492096,111,113,63680512,73000000,57,True,1,72,113,all_of,100,143,77.43,7743,0.2928610689999971
25,0,0.02637615400000004,9,9,success,0,0,2,True,0,False,0,structural,63492096,0,25,63680512,73000000,43,True,2,0,25,condition_then,0,0,0.0,0,0.026378720000003852
25,0,0.027630606999999863,9,9,success,0,0,2,True,0,False,0,frontier_t0,63492096,0,25,63680512,73000000,43,True,2,0,25,condition_then,0,0,0.0,0,0.027644614000003287
25,0,0.030965705999999926,9,9,success,0,0.002287686000002509,2,True,5,False,2.220446049250313e-16,virtual_frontier,63492096,2,25,63680512,73000000,43,True,2,0,25,condition_then,9,8,5.777777777777778,52,0.030968469000001164
25,0,0.03092794600000004,9,9,success,0,0.002237014000002091,2,True,5,False,2.220446049250313e-16,task_virtual_frontier,63492096,2,25,63680512,73000000,43,True,2,0,25,condition_then,9,8,5.777777777777778,52,0.030930488999999284
11,0,0.018884561999999994,0,0,success,0,0,3,True,0,False,0,structural,63492096,0,11,63680512,73000000,38,True,3,0,11,sequence,0,0,0.0,0,0.01888697600000455
11,0,0.018950604999999898,0,0,success,0,0,3,True,0,False,0,frontier_t0,63492096,0,11,63680512,73000000,38,True,3,0,11,sequence,0,0,0.0,0,0.01896191400000191
11,0,0.01920719400000004,0,0,success,0,0,3,True,0,False,0,virtual_frontier,63492096,0,11,63680512,73000000,38,True,3,0,11,sequence,0,0,0.0,0,0.01920981399999988
11,0,0.01894257999999982,0,0,success,0,0,3,True,0,False,0,task_virtual_frontier,63492096,0,11,63680512,73000000,38,True,3,0,11,sequence,0,0,0.0,0,0.018945283999997287
1102,0,1.6930141819999998,1091,1091,success,0,0,7,True,0,False,0,structural,64278528,0,1102,64352256,73000000,51,True,4,0,1102,all_of,0,0,0.0,0,1.6932435140000024
76,0,0.15288284799999996,61,61,success,0,0,7,True,0,False,0,frontier_t0,64278528,0,76,64352256,73000000,48,True,4,0,76,all_of,0,0,0.0,0,0.15288736700000527
74,0,0.2822659940000003,59,59,success,0,0.0256658909999814,7,True,51,False,6.661338147750939e-16,virtual_frontier,64278528,180,74,64352256,73000000,47,True,4,45,74,all_of,59,156,91.13559322033899,5377,0.2822908549999994
74,0,0.2824156730000005,59,59,success,0,0.02575367699996889,7,True,51,False,6.661338147750939e-16,task_virtual_frontier,64278528,180,74,64352256,73000000,47,True,4,45,74,all_of,59,156,91.13559322033899,5377,0.28242066899999685
4,0,0.0021088990000004415,4,4,success,0,0,2,True,0,False,0,structural,64278528,0,4,64352256,73000000,41,True,5,0,4,condition_then,0,0,0.0,0,0.0021114070000010088
4,0,0.0023217769999996918,4,4,success,0,0,2,True,0,False,0,frontier_t0,64278528,0,4,64352256,73000000,41,True,5,0,4,condition_then,0,0,0.0,0,0.0023240450000017177
4,0,0.005568058999999792,4,4,success,0,0.0012866520000045512,2,True,2,False,2.220446049250313e-16,virtual_frontier,64278528,47,4,64352256,73000000,41,True,5,2,4,condition_then,4,39,22.0,88,0.005570329000001095
3,0,0.004488562999999779,3,3,success,1,0.0009333580000046027,2,True,2,True,2.220446049250313e-16,task_virtual_frontier,64278528,47,3,64352256,73000000,40,True,5,1,3,condition_then,3,39,24.666666666666668,74,0.004490835999995113
39,0,0.051592982999999926,23,23,success,0,0,3,True,0,False,0,structural,64278528,0,39,64352256,73000000,39,True,6,0,39,sequence,0,0,0.0,0,0.05159630099999646
22,0,0.034991596000000236,6,6,success,0,0,3,True,0,False,0,frontier_t0,64278528,0,22,64352256,73000000,39,True,6,0,22,sequence,0,0,0.0,0,0.0349944490000027
24,0,0.04566699500000038,6,6,success,0,0.002192670000006558,3,True,2,False,3.3306690738754696e-16,virtual_frontier,64278528,75,24,64352256,73000000,39,True,6,5,24,sequence,6,58,49.333333333333336,296,0.04568543299999561
24,0,0.04588241700000051,6,6,success,0,0.002182130000008442,3,True,2,False,3.3306690738754696e-16,task_virtual_frontier,64278528,75,24,64352256,73000000,39,True,6,5,24,sequence,6,58,49.333333333333336,296,0.045886429999995926
29,0,0.03960982099999999,23,23,success,0,0,7,True,0,False,0,structural,64278528,0,29,64352256,73000000,39,True,7,0,29,all_of,0,0,0.0,0,0.03964422199999973
14,0,0.025462378000000285,6,6,success,0,0,7,True,0,False,0,frontier_t0,64278528,0,14,64352256,73000000,39,True,7,0,14,all_of,0,0,0.0,0,0.02546508100000011
14,0,0.03778458299999965,6,6,success,0,0.0026187469999925383,7,True,2,False,2.220446049250313e-16,virtual_frontier,64278528,148,14,64352256,73000000,39,True,7,5,14,all_of,6,116,97.66666666666667,586,0.03779616899999638
14,0,0.03779063400000027,6,6,success,0,0.002592167000003087,7,True,2,False,2.220446049250313e-16,task_virtual_frontier,64278528,148,14,64352256,73000000,39,True,7,5,14,all_of,6,116,97.66666666666667,586,0.037793434000001014
4096,0,1.8874849179999993,4096,4096,task_step_limit,0,0,1,False,0,False,0,structural,66637824,0,4096,66760704,73000000,51,False,8,0,4096,condition_then,0,0,0.0,0,1.8877007500000005
157,0,0.11856611299999997,157,157,success,0,0,2,True,0,False,0,frontier_t0,66637824,0,157,66760704,73000000,62,True,8,0,157,condition_then,0,0,0.0,0,0.11858827100000013
157,0,0.274461187,157,157,success,0,0.05051824800001725,2,True,138,False,6.661338147750939e-16,virtual_frontier,66637824,61,157,66760704,73000000,62,True,8,0,157,condition_then,157,48,33.00636942675159,5182,0.2745176279999981
157,0,0.27412546900000034,157,157,success,0,0.04987186100001395,2,True,138,False,6.661338147750939e-16,task_virtual_frontier,66637824,61,157,66760704,73000000,62,True,8,0,157,condition_then,157,48,33.00636942675159,5182,0.27414914799999934
4096,0,1.8909890310000002,4096,4096,task_step_limit,0,0,1,False,0,False,0,structural,66637824,0,4096,66813952,73000000,52,False,9,0,4096,branch,0,0,0.0,0,1.8912405300000046
118,0,0.10103370699999914,118,118,success,0,0,3,True,0,False,0,frontier_t0,66637824,0,118,66813952,73000000,57,True,9,0,118,branch,0,0,0.0,0,0.1010445269999991
121,0,0.23895164199999996,121,121,success,0,0.040086463000001515,3,True,102,False,6.661338147750939e-16,virtual_frontier,66637824,121,121,66813952,73000000,57,True,9,23,121,branch,121,93,37.11570247933884,4491,0.23898997799999933
121,0,0.23902321799999982,121,121,success,0,0.039875883999997086,3,True,102,False,6.661338147750939e-16,task_virtual_frontier,66637824,121,121,66813952,73000000,57,True,9,23,121,branch,121,93,37.11570247933884,4491,0.23907868299999535
10,0,0.007719748000001303,6,6,success,0,0,3,True,0,False,0,structural,66637824,0,10,66813952,73000000,43,True,10,0,10,branch,0,0,0.0,0,0.007722133000001463
10,0,0.008003849999999701,6,6,success,0,0,3,True,0,False,0,frontier_t0,66637824,0,10,66813952,73000000,43,True,10,0,10,branch,0,0,0.0,0,0.008006413000003931
10,0,0.01094945100000011,6,6,success,0,0.0015432879999934812,3,True,1,False,1.1102230246251565e-16,virtual_frontier,66637824,1,10,66813952,73000000,43,True,10,0,10,branch,6,6,5.833333333333333,35,0.01095199699999938
10,0,0.01080102399999916,6,6,success,0,0.0015663409999859823,3,True,1,False,1.1102230246251565e-16,task_virtual_frontier,66637824,1,10,66813952,73000000,43,True,10,0,10,branch,6,6,5.833333333333333,35,0.010803580000001034
4096,0,2.1045339389999995,4096,4096,task_step_limit,0,0,1,False,0,False,0,structural,66637824,0,4096,66830336,73000000,51,False,11,0,4096,branch,0,0,0.0,0,2.1048120200000042
61,0,0.059447223999999466,57,57,success,0,0,3,True,0,False,0,frontier_t0,66637824,0,61,66830336,73000000,48,True,11,0,61,branch,0,0,0.0,0,0.05946190299999898
53,0,0.1083223499999999,49,49,success,0,0.016830437000002973,3,True,43,False,4.440892098500626e-16,virtual_frontier,66637824,87,53,66830336,73000000,47,True,11,33,53,branch,49,79,46.08163265306123,2258,0.10832585699999697
53,0,0.10838135000000015,49,49,success,0,0.016676899000003687,3,True,43,False,4.440892098500626e-16,task_virtual_frontier,66637824,87,53,66830336,73000000,47,True,11,33,53,branch,49,79,46.08163265306123,2258,0.10838599099999868
18,0,0.06750101599999958,0,0,success,0,0,3,True,0,False,0,structural,66637824,0,18,66830336,73000001,91,True,0,0,18,sequence,0,0,0.0,0,0.06750567699999976
18,0,0.06715480899999982,0,0,success,0,0,3,True,0,False,0,frontier_t0,66637824,0,18,66830336,73000001,91,True,0,0,18,sequence,0,0,0.0,0,0.06715842599999888
18,0,0.06721585300000044,0,0,success,0,0,3,True,0,False,0,virtual_frontier,66637824,0,18,66830336,73000001,91,True,0,0,18,sequence,0,0,0.0,0,0.06723617100000467
