seed,tasks,exploration_decisions,task_signal_available_decisions,field_changed_decisions,virtual_nodes_total,field_solve_seconds,constant_source_roundoff_corrections,source_variation_fraction,changed_fraction_all,changed_fraction_given_signal,tasks_with_changes,world_has_changes,virtual_nodes_max,virtual_nodes_mean,max_field_residual
73000000,12,527,185,1,26209,0.18230408399996634,0,0.3510436432637571,0.0018975332068311196,0.005405405405405406,1,True,156,49.732447817836814,6.661338147750939e-16
73000001,12,0,0,0,0,0,0,,,,0,False,0,,0
73000002,12,0,0,0,0,0,0,,,,0,False,0,,0
73000003,12,0,0,0,0,0,0,,,,0,False,0,,0
73000004,12,241,0,0,13566,0.11584545400010171,0,0.0,0.0,,0,False,80,56.29045643153527,6.661338147750939e-16
73000005,12,0,0,0,0,0,0,,,,0,False,0,,0
73000006,12,119,44,0,160019,0.1705087099999858,0,0.3697478991596639,0.0,0.0,0,False,2950,1344.6974789915967,1.3322676295501878e-15
73000007,12,72,22,1,13091,0.035749572999996815,0,0.3055555555555556,0.013888888888888888,0.045454545454545456,1,True,420,181.81944444444446,1.1102230246251565e-15
73000008,12,668,258,2,87051,0.31145521200019743,0,0.38622754491017963,0.0029940119760479044,0.007751937984496124,2,True,448,130.31586826347305,6.661338147750939e-16
73000009,12,0,0,0,0,0,0,,,,0,False,0,,0
73000010,12,1130,412,4,307612,0.6163212470001724,0,0.36460176991150445,0.0035398230088495575,0.009708737864077669,4,True,886,272.2230088495575,8.881784197001252e-16
73000011,12,964,297,6,98660,0.4813447370002848,0,0.30809128630705396,0.006224066390041493,0.020202020202020204,3,True,360,102.34439834024896,1.1102230246251565e-15
73000013,12,0,0,0,0,0,0,,,,0,False,0,,0
73000014,12,0,0,0,0,0,0,,,,0,False,0,,0
73000015,12,6113,1407,1,2727325,4.527522292998867,0,0.23016522165876002,0.0001635858007524947,0.0007107320540156361,1,True,1208,446.15164403729756,1.7763568394002505e-15
73000016,12,0,0,0,0,0,0,,,,0,False,0,,0
73000017,12,1840,385,5,243795,0.933198758998941,0,0.20923913043478262,0.002717391304347826,0.012987012987012988,2,True,492,132.49728260869566,1.5543122344752192e-15
73000018,12,1376,562,4,183818,0.5813926149997997,0,0.40843023255813954,0.0029069767441860465,0.0071174377224199285,3,True,432,133.58866279069767,1.1102230246251565e-15
73000019,12,597,342,3,41013,0.20209309700007339,0,0.5728643216080402,0.005025125628140704,0.008771929824561403,1,True,194,68.69849246231156,8.881784197001252e-16
73000020,12,48,0,0,120,0.010995794000024262,0,0.0,0.0,,0,False,4,2.5,2.220446049250313e-16
73000021,12,94,38,0,3359,0.024772440999988987,0,0.40425531914893614,0.0,0.0,0,False,170,35.734042553191486,6.661338147750939e-16
73000023,12,0,0,0,0,0,0,,,,0,False,0,,0
73000024,12,463,139,0,34328,0.24343278999995732,0,0.3002159827213823,0.0,0.0,0,False,166,74.1425485961123,8.881784197001252e-16
73000026,12,1680,611,0,93460,0.5880153820005773,0,0.3636904761904762,0.0,0.0,0,False,192,55.63095238095238,6.661338147750939e-16
73000027,12,2724,663,4,587777,1.6460648810005125,0,0.2433920704845815,0.0014684287812041115,0.006033182503770739,2,True,661,215.77716593245228,1.1102230246251565e-15
73000029,12,1904,334,0,174156,0.8319837700002779,0,0.17542016806722688,0.0,0.0,0,False,364,91.46848739495799,8.881784197001252e-16
73000030,12,0,0,0,0,0,0,,,,0,False,0,,0
