seed,task_id,task_type,structural_capped,frontier_t0_capped,virtual_frontier_capped,task_virtual_frontier_capped,structural_success,frontier_t0_success,virtual_frontier_success,task_virtual_frontier_success,D_task,G_task,success_task_minus_generic,success_generic_minus_frontier
73000000,0,sequence,36,36,36,36,True,True,True,True,0,0,0,0
73000000,1,all_of,147,112,113,113,True,True,True,True,0,1,0,0
73000000,2,condition_then,25,25,25,25,True,True,True,True,0,0,0,0
73000000,3,sequence,11,11,11,11,True,True,True,True,0,0,0,0
73000000,4,all_of,1102,76,74,74,True,True,True,True,0,-2,0,0
73000000,5,condition_then,4,4,4,3,True,True,True,True,-1,0,0,0
73000000,6,sequence,39,22,24,24,True,True,True,True,0,2,0,0
73000000,7,all_of,29,14,14,14,True,True,True,True,0,0,0,0
73000000,8,condition_then,4096,157,157,157,False,True,True,True,0,0,0,0
73000000,9,branch,4096,118,121,121,False,True,True,True,0,3,0,0
73000000,10,branch,10,10,10,10,True,True,True,True,0,0,0,0
73000000,11,branch,4096,61,53,53,False,True,True,True,0,-8,0,0
73000001,0,sequence,18,18,18,18,True,True,True,True,0,0,0,0
73000001,1,all_of,14,14,14,14,True,True,True,True,0,0,0,0
73000001,2,condition_then,7,7,7,7,True,True,True,True,0,0,0,0
73000001,3,sequence,20,20,20,20,True,True,True,True,0,0,0,0
73000001,4,all_of,15,15,15,15,True,True,True,True,0,0,0,0
73000001,5,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000001,6,sequence,22,22,22,22,True,True,True,True,0,0,0,0
73000001,7,all_of,18,18,18,18,True,True,True,True,0,0,0,0
73000001,8,condition_then,12,12,12,12,True,True,True,True,0,0,0,0
73000001,9,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000001,10,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000001,11,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000002,0,sequence,14,14,14,14,True,True,True,True,0,0,0,0
73000002,1,all_of,11,11,11,11,True,True,True,True,0,0,0,0
73000002,2,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000002,3,sequence,12,12,12,12,True,True,True,True,0,0,0,0
73000002,4,all_of,11,11,11,11,True,True,True,True,0,0,0,0
73000002,5,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000002,6,sequence,12,12,12,12,True,True,True,True,0,0,0,0
73000002,7,all_of,5,5,5,5,True,True,True,True,0,0,0,0
73000002,8,condition_then,7,7,7,7,True,True,True,True,0,0,0,0
73000002,9,branch,12,12,12,12,True,True,True,True,0,0,0,0
73000002,10,branch,11,11,11,11,True,True,True,True,0,0,0,0
73000002,11,branch,11,11,11,11,True,True,True,True,0,0,0,0
73000003,0,sequence,29,29,29,29,True,True,True,True,0,0,0,0
73000003,1,all_of,14,14,14,14,True,True,True,True,0,0,0,0
73000003,2,condition_then,13,13,13,13,True,True,True,True,0,0,0,0
73000003,3,sequence,14,14,14,14,True,True,True,True,0,0,0,0
73000003,4,all_of,11,11,11,11,True,True,True,True,0,0,0,0
73000003,5,condition_then,6,6,6,6,True,True,True,True,0,0,0,0
73000003,6,sequence,15,15,15,15,True,True,True,True,0,0,0,0
73000003,7,all_of,11,11,11,11,True,True,True,True,0,0,0,0
73000003,8,condition_then,8,8,8,8,True,True,True,True,0,0,0,0
73000003,9,branch,8,8,8,8,True,True,True,True,0,0,0,0
73000003,10,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000003,11,branch,9,9,9,9,True,True,True,True,0,0,0,0
73000004,0,sequence,252,170,105,105,True,True,True,True,0,-65,0,0
73000004,1,all_of,238,159,102,102,True,True,True,True,0,-57,0,0
73000004,2,condition_then,127,61,39,39,True,True,True,True,0,-22,0,0
73000004,3,sequence,18,18,18,18,True,True,True,True,0,0,0,0
