seed,tasks,D_w,G_w,R_w,structural_mean_capped,frontier_t0_mean_capped,virtual_frontier_mean_capped,task_virtual_frontier_mean_capped,structural_success_rate,frontier_t0_success_rate,virtual_frontier_success_rate,task_virtual_frontier_success_rate,success_task_minus_generic,success_generic_minus_frontier
73000000,12,-0.08333333333333333,-0.3333333333333333,-0.001557632398753894,1140.9166666666667,53.833333333333336,53.5,53.416666666666664,0.75,1.0,1.0,1.0,0.0,0.0
73000001,12,0.0,0.0,0.0,13.25,13.25,13.25,13.25,1.0,1.0,1.0,1.0,0.0,0.0
73000002,12,0.0,0.0,0.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0
73000003,12,0.0,0.0,0.0,12.25,12.25,12.25,12.25,1.0,1.0,1.0,1.0,0.0,0.0
73000004,12,0.0,-12.0,0.0,62.416666666666664,43.5,31.5,31.5,1.0,1.0,1.0,1.0,0.0,0.0
73000005,12,0.0,0.0,0.0,12.083333333333334,12.083333333333334,12.083333333333334,12.083333333333334,1.0,1.0,1.0,1.0,0.0,0.0
73000006,12,0.0,0.0,0.0,32.166666666666664,32.166666666666664,32.166666666666664,32.166666666666664,1.0,1.0,1.0,1.0,0.0,0.0
73000007,12,0.5,-9.25,0.02857142857142857,28.333333333333332,26.75,17.5,18.0,1.0,1.0,1.0,1.0,0.0,0.0
73000008,12,-5.166666666666667,-2.0833333333333335,-0.07217694994179279,1174.9166666666667,73.66666666666667,71.58333333333333,66.41666666666667,1.0,1.0,1.0,1.0,0.0,0.0
73000009,12,0.0,0.0,0.0,11.166666666666666,11.166666666666666,11.166666666666666,11.166666666666666,1.0,1.0,1.0,1.0,0.0,0.0
73000010,12,-3.0833333333333335,-30.666666666666668,-0.028861154446177848,238.75,137.5,106.83333333333333,103.75,1.0,1.0,1.0,1.0,0.0,0.0
73000011,12,-1.1666666666666667,-37.5,-0.012903225806451613,1259.5833333333333,127.91666666666667,90.41666666666667,89.25,0.75,1.0,1.0,1.0,0.0,0.0
73000013,12,0.0,0.0,0.0,11.5,11.5,11.5,11.5,1.0,1.0,1.0,1.0,0.0,0.0
73000014,12,0.0,0.0,0.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0
73000015,12,-0.08333333333333333,-202.58333333333334,-0.00016160310277957336,569.75,718.25,515.6666666666666,515.5833333333334,1.0,1.0,1.0,1.0,0.0,0.0
