seed,policy,episodes,successes,mean_capped_steps,tasks_with_changed_decision,exploration_decisions,virtual_field_decisions,task_signal_available_decisions,field_changed_decisions,field_solve_seconds,wall_seconds,cpu_seconds,peak_process_rss_bytes
2202,structural,12,9,1409.75,0,16849,0,0,0,0,16.36197632400004,16.360525121,67457024
2202,frontier_t0,12,12,254.25,0,2991,0,0,0,0,4.434650538000028,4.434271609000013,67457024
2202,virtual_frontier,12,12,208.91666666666666,0,2447,2447,386,0,1.1221035850001329,7.532157108999968,7.531244026999997,67457024
2202,task_virtual_frontier,12,12,210.33333333333334,3,2464,2464,255,5,1.1098906920005618,7.388297306000027,7.387586082000001,67457024
2303,structural,12,12,13.166666666666666,0,0,0,0,0,0,0.6396702779999828,0.6395381459999996,67588096
2303,frontier_t0,12,12,13.166666666666666,0,0,0,0,0,0,0.6296928739999998,0.6296360899999982,67588096
2303,virtual_frontier,12,12,13.166666666666666,0,0,0,0,0,0,0.6314397599999211,0.631379403000004,67588096
2303,task_virtual_frontier,12,12,13.166666666666666,0,0,0,0,0,0,0.6397974330000125,0.63972820299999,67588096
2505,structural,12,12,251.66666666666666,0,2861,0,0,0,0,7.87354780199999,7.872844803999996,69021696
2505,frontier_t0,12,12,257.0,0,2925,0,0,0,0,8.731910238000012,8.731250478000007,69021696
2505,virtual_frontier,12,12,251.66666666666666,0,2861,2861,1139,0,2.288162574000836,17.021771134999995,17.017710621000028,69021696
2505,task_virtual_frontier,12,12,251.66666666666666,0,2861,2861,1139,0,2.2847036349986922,16.980458733000034,16.978985755999993,69021696
