seed=2202 task=0 policy=structural success=True steps=696 explore=683 signal=0 changed=0
seed=2202 task=0 policy=frontier_t0 success=True steps=185 explore=180 signal=0 changed=0
seed=2202 task=0 policy=virtual_frontier success=True steps=146 explore=141 signal=0 changed=0
seed=2202 task=0 policy=task_virtual_frontier success=True steps=146 explore=141 signal=0 changed=0
seed=2202 task=1 policy=structural success=True steps=682 explore=682 signal=0 changed=0
seed=2202 task=1 policy=frontier_t0 success=True steps=179 explore=179 signal=0 changed=0
seed=2202 task=1 policy=virtual_frontier success=True steps=140 explore=140 signal=113 changed=0
seed=2202 task=1 policy=task_virtual_frontier success=True steps=132 explore=132 signal=71 changed=2
seed=2202 task=2 policy=structural success=True steps=9 explore=0 signal=0 changed=0
seed=2202 task=2 policy=frontier_t0 success=True steps=9 explore=0 signal=0 changed=0
seed=2202 task=2 policy=virtual_frontier success=True steps=9 explore=0 signal=0 changed=0
seed=2202 task=2 policy=task_virtual_frontier success=True steps=9 explore=0 signal=0 changed=0
seed=2202 task=3 policy=structural success=True steps=18 explore=1 signal=0 changed=0
seed=2202 task=3 policy=frontier_t0 success=True steps=18 explore=1 signal=0 changed=0
seed=2202 task=3 policy=virtual_frontier success=True steps=18 explore=1 signal=0 changed=0
seed=2202 task=3 policy=task_virtual_frontier success=True steps=18 explore=1 signal=0 changed=0
seed=2202 task=4 policy=structural success=True steps=13 explore=1 signal=0 changed=0
seed=2202 task=4 policy=frontier_t0 success=True steps=13 explore=1 signal=0 changed=0
seed=2202 task=4 policy=virtual_frontier success=True steps=13 explore=1 signal=0 changed=0
seed=2202 task=4 policy=task_virtual_frontier success=True steps=13 explore=1 signal=0 changed=0
seed=2202 task=5 policy=structural success=False steps=4096 explore=4096 signal=0 changed=0
seed=2202 task=5 policy=frontier_t0 success=True steps=677 explore=677 signal=0 changed=0
seed=2202 task=5 policy=virtual_frontier success=True steps=578 explore=578 signal=12 changed=0
seed=2202 task=5 policy=task_virtual_frontier success=True steps=578 explore=578 signal=12 changed=0
seed=2202 task=6 policy=structural success=False steps=4096 explore=4096 signal=0 changed=0
seed=2202 task=6 policy=frontier_t0 success=True steps=660 explore=660 signal=0 changed=0
seed=2202 task=6 policy=virtual_frontier success=True steps=440 explore=440 signal=0 changed=0
seed=2202 task=6 policy=task_virtual_frontier success=True steps=440 explore=440 signal=0 changed=0
seed=2202 task=7 policy=structural success=False steps=4096 explore=4096 signal=0 changed=0
seed=2202 task=7 policy=frontier_t0 success=True steps=407 explore=407 signal=0 changed=0
seed=2202 task=7 policy=virtual_frontier success=True steps=415 explore=415 signal=151 changed=0
seed=2202 task=7 policy=task_virtual_frontier success=True steps=415 explore=415 signal=141 changed=1
seed=2202 task=8 policy=structural success=True steps=2226 explore=2226 signal=0 changed=0
seed=2202 task=8 policy=frontier_t0 success=True steps=660 explore=660 signal=0 changed=0
seed=2202 task=8 policy=virtual_frontier success=True steps=440 explore=440 signal=110 changed=0
seed=2202 task=8 policy=task_virtual_frontier success=True steps=465 explore=465 signal=31 changed=2
seed=2202 task=9 policy=structural success=True steps=966 explore=966 signal=0 changed=0
seed=2202 task=9 policy=frontier_t0 success=True steps=224 explore=224 signal=0 changed=0
seed=2202 task=9 policy=virtual_frontier success=True steps=289 explore=289 signal=0 changed=0
seed=2202 task=9 policy=task_virtual_frontier success=True steps=289 explore=289 signal=0 changed=0
seed=2202 task=10 policy=structural success=True steps=10 explore=1 signal=0 changed=0
seed=2202 task=10 policy=frontier_t0 success=True steps=10 explore=1 signal=0 changed=0
seed=2202 task=10 policy=virtual_frontier success=True steps=10 explore=1 signal=0 changed=0
seed=2202 task=10 policy=task_virtual_frontier success=True steps=10 explore=1 signal=0 changed=0
seed=2202 task=11 policy=structural success=True steps=9 explore=1 signal=0 changed=0
seed=2202 task=11 policy=frontier_t0 success=True steps=9 explore=1 signal=0 changed=0
seed=2202 task=11 policy=virtual_frontier success=True steps=9 explore=1 signal=0 changed=0
seed=2202 task=11 policy=task_virtual_frontier success=True steps=9 explore=1 signal=0 changed=0
seed=2303 task=0 policy=structural success=True steps=12 explore=0 signal=0 changed=0
seed=2303 task=0 policy=frontier_t0 success=True steps=12 explore=0 signal=0 changed=0
seed=2303 task=0 policy=virtual_frontier success=True steps=12 explore=0 signal=0 changed=0
seed=2303 task=0 policy=task_virtual_frontier success=True steps=12 explore=0 signal=0 changed=0
seed=2303 task=1 policy=structural success=True steps=15 explore=0 signal=0 changed=0
seed=2303 task=1 policy=frontier_t0 success=True steps=15 explore=0 signal=0 changed=0
seed=2303 task=1 policy=virtual_frontier success=True steps=15 explore=0 signal=0 changed=0
seed=2303 task=1 policy=task_virtual_frontier success=True steps=15 explore=0 signal=0 changed=0
seed=2303 task=2 policy=structural success=True steps=7 explore=0 signal=0 changed=0
seed=2303 task=2 policy=frontier_t0 success=True steps=7 explore=0 signal=0 changed=0
seed=2303 task=2 policy=virtual_frontier success=True steps=7 explore=0 signal=0 changed=0
seed=2303 task=2 policy=task_virtual_frontier success=True steps=7 explore=0 signal=0 changed=0
seed=2303 task=3 policy=structural success=True steps=18 explore=0 signal=0 changed=0
seed=2303 task=3 policy=frontier_t0 success=True steps=18 explore=0 signal=0 changed=0
seed=2303 task=3 policy=virtual_frontier success=True steps=18 explore=0 signal=0 changed=0
seed=2303 task=3 policy=task_virtual_frontier success=True steps=18 explore=0 signal=0 changed=0
seed=2303 task=4 policy=structural success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=4 policy=frontier_t0 success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=4 policy=virtual_frontier success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=4 policy=task_virtual_frontier success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=5 policy=structural success=True steps=12 explore=0 signal=0 changed=0
seed=2303 task=5 policy=frontier_t0 success=True steps=12 explore=0 signal=0 changed=0
seed=2303 task=5 policy=virtual_frontier success=True steps=12 explore=0 signal=0 changed=0
seed=2303 task=5 policy=task_virtual_frontier success=True steps=12 explore=0 signal=0 changed=0
seed=2303 task=6 policy=structural success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=6 policy=frontier_t0 success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=6 policy=virtual_frontier success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=6 policy=task_virtual_frontier success=True steps=20 explore=0 signal=0 changed=0
seed=2303 task=7 policy=structural success=True steps=16 explore=0 signal=0 changed=0
seed=2303 task=7 policy=frontier_t0 success=True steps=16 explore=0 signal=0 changed=0
seed=2303 task=7 policy=virtual_frontier success=True steps=16 explore=0 signal=0 changed=0
seed=2303 task=7 policy=task_virtual_frontier success=True steps=16 explore=0 signal=0 changed=0
seed=2303 task=8 policy=structural success=True steps=6 explore=0 signal=0 changed=0
seed=2303 task=8 policy=frontier_t0 success=True steps=6 explore=0 signal=0 changed=0
seed=2303 task=8 policy=virtual_frontier success=True steps=6 explore=0 signal=0 changed=0
seed=2303 task=8 policy=task_virtual_frontier success=True steps=6 explore=0 signal=0 changed=0
seed=2303 task=9 policy=structural success=True steps=11 explore=0 signal=0 changed=0
seed=2303 task=9 policy=frontier_t0 success=True steps=11 explore=0 signal=0 changed=0
seed=2303 task=9 policy=virtual_frontier success=True steps=11 explore=0 signal=0 changed=0
seed=2303 task=9 policy=task_virtual_frontier success=True steps=11 explore=0 signal=0 changed=0
seed=2303 task=10 policy=structural success=True steps=13 explore=0 signal=0 changed=0
seed=2303 task=10 policy=frontier_t0 success=True steps=13 explore=0 signal=0 changed=0
seed=2303 task=10 policy=virtual_frontier success=True steps=13 explore=0 signal=0 changed=0
