seed,task_id,task_type,policy,starts_in_model,success,task_steps,capped_steps,exploration_steps,replans,failure_reason,final_memory,final_memory_accepting,exploration_decisions,virtual_field_decisions,task_signal_available_decisions,field_changed_decisions,has_changed_decision,generic_counterfactual_action_switches,virtual_nodes_total,virtual_nodes_max,real_product_nodes_max,field_solve_seconds,max_field_residual,constant_source_roundoff_corrections,wall_seconds,cpu_seconds,sampled_peak_rss_bytes,process_peak_rss_bytes_so_far,states_known_at_end,virtual_nodes_mean
2101,0,sequence,structural,False,True,328,328,321,328,success,3,True,321,0,0,0,False,0,0,0,0,0,0,0,0.3852189110000097,0.385195655,64262144,64028672,138,0.0
2101,0,sequence,frontier_t0,False,True,183,183,176,183,success,3,True,176,0,0,0,False,0,0,0,0,0,0,0,0.2961805489999989,0.2961748380000001,64356352,64159744,138,0.0
2101,0,sequence,virtual_frontier,False,True,113,113,106,113,success,3,True,106,106,0,0,False,86,22324,263,136,0.0539377030000594,4.440892098500626e-16,0,0.37034002000000044,0.37033451799999995,64516096,64290816,138,210.60377358490567
2101,0,sequence,task_virtual_frontier,False,True,113,113,106,113,success,3,True,106,106,0,0,False,86,22324,263,136,0.05381483799995124,4.440892098500626e-16,0,0.3699598780000031,0.36990097199999994,64528384,64421888,138,210.60377358490567
2101,1,all_of,structural,False,True,325,325,321,325,success,7,True,321,0,0,0,False,0,0,0,0,0,0,0,1.2868844629999927,1.2867968360000002,64528384,64421888,138,0.0
2101,1,all_of,frontier_t0,False,True,186,186,176,186,success,7,True,176,0,0,0,False,0,0,0,0,0,0,0,0.9881048359999909,0.9880234209999998,64565248,64421888,138,0.0
2101,1,all_of,virtual_frontier,False,True,116,116,106,116,success,7,True,106,106,91,0,False,86,87497,1028,540,0.11937065000007863,6.661338147750939e-16,0,1.2296650969999945,1.2295936110000003,64819200,64815104,138,825.4433962264151
2101,1,all_of,task_virtual_frontier,False,True,116,116,106,116,success,7,True,106,106,91,1,True,86,87497,1028,540,0.11907157600008134,6.661338147750939e-16,0,1.223562298999994,1.2234291829999995,64856064,64815104,138,825.4433962264151
2101,2,condition_then,structural,True,True,13,13,0,13,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.04873868800000025,0.04873477599999987,64856064,64815104,128,0.0
2101,2,condition_then,frontier_t0,True,True,13,13,0,13,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.04933640600000899,0.04933245100000061,64856064,64815104,128,0.0
2101,2,condition_then,virtual_frontier,True,True,13,13,0,13,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.05635141899999496,0.05634783999999993,64856064,64815104,128,0.0
2101,2,condition_then,task_virtual_frontier,True,True,13,13,0,13,success,2,True,0,0,0,0,False,0,0,0,0,0,0,0,0.04831429400000786,0.04829948399999928,64856064,64815104,128,0.0
2101,3,sequence,structural,False,True,309,309,286,309,success,3,True,286,0,0,0,False,0,0,0,0,0,0,0,1.0660798739999962,1.0659444689999997,64897024,64815104,144,0.0
